"Record type","Order","Status / choice","Item","Prompt / specification","Project value / evidence"
"Brief","1","Open","Room envelope","Measure wall width, baseboard, door swing, floor level, side clearances, and vanity height.",""
"Brief","2","Open","Fixture data","Record sink, faucet, top, bowl depth, clips, overflow, and manufacturer cutout.",""
"Brief","3","Open","Plumbing zone","Locate supplies, traps, drain centerline, shutoff access, and permitted professional work.",""
"Brief","4","Open","Storage program","List doors, drawers, pull-outs, towels, cleaners, and the clear space each needs.",""
"Material","1","Verify","Moisture-resistant cabinet panels","Prefinished or properly sealed plywood for box and shelves",""
"Material","2","Verify","Back and plumbing liners","Removable back zones or protective panels around service openings",""
"Material","3","Verify","Drawer and door hardware","Confirmed hinges, slides, pulls, and mounting accessories",""
"Material","4","Verify","Water-resistant edge system","Compatible edge banding, finish, caulk boundary, and touchup material",""
"Material","5","Verify","Installation material","Leveling shims and fasteners selected for verified wall construction",""
"Decision","1","Choose","How will plumbing pass through the cabinet?","A large improvised cutout can destroy drawer space, back stiffness, and service access. Options: Map a bounded service chase from real fixture locations | Use a removable false back around a known service zone | Cut the cabinet after the plumber arrives",""
"Decision","2","Choose","Where should drawer depth stop?","The sink bowl, drain, supplies, and countertop clips occupy a three-dimensional envelope. Options: Model each drawer against the measured fixture envelope | Use one shallow top drawer and doors below | Order full-depth drawers before selecting the sink",""
"Decision","3","Choose","How should exposed panel edges be protected?","Bathroom splashes and cleaning water concentrate at toe kicks, sink edges, and floor-adjacent seams. Options: Seal every machined edge with a compatible documented system | Use factory-finished panels and matching edge banding | Rely on countertop caulk to protect the cabinet",""
"Phase","1","Open","Measure","Capture room, fixture, plumbing, and movement envelopes from the actual products and site.","Evidence: Coordinated plan and section showing every fixed and moving envelope. Hold: Stop if the sink, top, or plumbing locations are only nominal assumptions."
"Phase","2","Open","Plan","Divide the vanity into structure, storage, and service zones without hiding conflicts.","Evidence: Released cabinet sections, parts schedule, and service-opening dimensions. Hold: Stop if a drawer, rail, or fastener enters the fixture or plumbing envelope."
"Phase","3","Open","Cut","Produce moisture-protected, clearly handed cabinet and drawer parts.","Evidence: Labeled parts, sealed test edge, and verified drawer-hardware sample. Hold: Stop if cut edges cannot be sealed before they become inaccessible."
"Phase","4","Open","Assemble","Build a square vanity and prove sink, drawer, and service access with reversible dry fits.","Evidence: Square cabinet with functioning storage and confirmed fixture clearances. Hold: Stop if the trap or shutoff path depends on removing a structural member."
"Phase","5","Open","Install","Set the vanity level, anchor it, and coordinate professional service work without distorting the box.","Evidence: Installed cabinet with level record, anchor locations, and service access photos. Hold: Stop before modifying plumbing, structure, or fixture instructions outside the approved scope."
"Phase","6","Open","Closeout","Verify storage, water-adjacent details, service access, and the final fixture-to-cabinet relationship.","Evidence: Function and moisture-boundary checklist with as-built service locations. Hold: Do not close while a leak, swelling edge, drawer conflict, or inaccessible shutoff remains."
"Variation","1","Review","Floating vanity","Use only with a reviewed cabinet-to-wall load path and verified structural attachment behind the finished wall.","The missing floor support increases rail, joint, fastener, plumbing, and service-access consequences throughout the box."
"Variation","2","Review","Door-and-shelf sink cabinet","Use when centered plumbing and stored items can share a serviceable open bay.","Drawer conflicts disappear, but shelf shape, trap access, removable back, and leak inspection become the main interior decisions."
"Variation","3","Review","Drawer vanity with service notch","Use after the exact bowl, drain, valves, slide system, and connector movements are modeled in section.","Each drawer needs a distinct usable shape and balance check rather than one repeated rectangular drawer box."
"Risk","1","Monitor","Fixture selected after drawers","The sink bowl, clips, faucet, trap, or supplies enter a completed drawer's travel.","Hold installation, map the actual fixture envelope, and redesign affected drawer depth or arrangement before field cutting."
"Risk","2","Monitor","Oversized service opening","A plumbing cut crosses a rail, corner, back attachment, or leaves an unsupported panel edge.","Stop enlargement, restore a deliberate structural path, and use the smallest serviceable opening tied to measured plumbing."
"Risk","3","Monitor","Exposed wet panel core","A cutout, toe, floor edge, or fastener hole shows absorbent core beside a splash or leak path.","Dry the area, seal it with the approved edge system, and repeat inspection before the top or plumbing hides it."
"Risk","4","Monitor","Racked leveling","Drawer travel or diagonals change as the vanity is pulled against wall or floor variation.","Release attachment, level with shims at structural bearing points, restore square, and refasten without distortion."
"Finish line","1","Open","Project closeout","The vanity fits the actual room and fixture stack while keeping storage smooth, wet edges protected, and every shutoff and trap serviceable.",""
"Finish line","2","Open","Closeout check 1","The cabinet is level and square after anchoring, with the top supported at every designed bearing location.",""
"Finish line","3","Open","Closeout check 2","Doors and drawers complete full travel without entering the sink, faucet, drain, supply, clip, or wall envelope.",""
"Finish line","4","Open","Closeout check 3","Every machined edge beside plumbing or splash exposure has a continuous inspected protective finish.",""
"Finish line","5","Open","Closeout check 4","Shutoffs, trap connections, and the removable service panel can be reached without removing a structural cabinet member.",""
"Resource","1","Template","Bathroom vanity cut list template","/templates/bathroom-vanity-cut-list/","Seed the vanity box and storage parts while reserving fixture and service zones for field data."
"Resource","2","Example","Bathroom vanity worked example","/examples/bathroom-vanity-cut-list/","Inspect a reproducible vanity cut list before adapting its sink, drawer, and panel assumptions."
"Resource","3","Learn","Bathroom vanity planning guide","/learn/bathroom-vanity-cut-list-guide/","Coordinate cabinet dimensions with sink bowl, top, plumbing, drawers, and bathroom clearances."
"Resource","4","Worksheet","Cabinet opening measurement record","/worksheets/cabinet-opening-measurement/","Retain width, height, diagonals, hardware space, and worst-case opening values for the vanity."
"Resource","5","Troubleshooting","Drawer box too tight","/troubleshooting/drawer-box-too-tight/","Test case square, slide clearance, edge build-up, and plumbing conflicts before altering a drawer."
