"Record type","Order","Status / choice","Item","Prompt / specification","Project value / evidence"
"Brief","1","Open","Circulation envelope","Measure clear path with door, coats, bags, stroller, and a seated user in normal positions.",""
"Brief","2","Open","Seat ergonomics","Record finished height, depth, user range, cushion, front edge, and hand support.",""
"Brief","3","Open","Shoe inventory","Measure tallest boot, longest shoe, pair count, drip tray, ventilation, and retrieval clearance.",""
"Brief","4","Open","Room surfaces","Map baseboard, radiator, vent, outlet, floor slope, wall structure, and wet entry zone.",""
"Material","1","Verify","Bench panels","3/4 in plywood for ends, dividers, seat, and anti-racking back or rails",""
"Material","2","Verify","Shoe surfaces","Cleanable shelves or trays with front retention and ventilation gaps",""
"Material","3","Verify","Base and feet","Water-tolerant plinth, glides, or levelers suited to the entry floor",""
"Material","4","Verify","Restraint hardware","Wall restraint or anti-tip system selected for verified structure",""
"Material","5","Verify","Durable finish","Cured cleanable finish and sealed lower edges for wet footwear",""
"Decision","1","Choose","What controls bench depth?","A deeper seat may feel comfortable but can narrow the everyday path and enter the door swing. Options: Mock up the full bench with the door and a seated user | Use a slightly sloped or rounded shallow seat | Match a standard dining bench depth",""
"Decision","2","Choose","How should wet shoes be stored?","Water, salt, and dirt concentrate on lower edges and enclosed shelves. Options: Use removable trays, ventilation, and sealed cleanable surfaces | Use open slatted shelves above a protected floor mat | Enclose wet footwear in an unvented plywood box",""
"Decision","3","Choose","Does the bench need restraint?","A shallow footprint, lid, tall coat panel, or child climbing can move the center of gravity outward. Options: Test edge loading and anchor when the use case can tip or slide | Use a low open bench with wide feet after a documented stability test | Assume the wall will catch it",""
"Phase","1","Open","Measure","Capture door, path, seated user, shoes, wet zone, floor, and wall constraints.","Evidence: Entry plan showing simultaneous movement and storage envelopes. Hold: Stop if the proposed bench narrows a required path or covers a service."
"Phase","2","Open","Plan","Resolve shallow structure, seating load, shoe access, moisture handling, base, and restraint.","Evidence: Bench section with circulation, load, and cleaning paths. Hold: Stop if the longest shoe cannot be removed while the door and bench stay in normal position."
"Phase","3","Open","Cut","Produce compact structural parts and seal the edges most exposed to entry moisture.","Evidence: Labeled parts and approved moisture-edge sample. Hold: Stop on insufficient seat bearing, sharp aisle edges, or unprotected panel core."
"Phase","4","Open","Assemble","Build a square shallow bench and prove seat stiffness, shoe retrieval, and stability.","Evidence: Stable bench with functioning storage and cleanable interior. Hold: Stop if the bench rocks, racks, or shifts during entry and exit."
"Phase","5","Open","Install","Place the bench around floor and baseboard variation without sacrificing the surveyed path.","Evidence: Final clearance, level, and restraint record. Hold: Stop if installation moves the bench into the door arc or blocks ventilation."
"Phase","6","Open","Closeout","Test loaded seating, shoe use, cleaning, and everyday entry movement.","Evidence: Use test plus cleaning and finish-care note. Hold: Do not close while moisture pools, the bench shifts, or the door contacts any part."
"Variation","1","Review","Open tray shoe bench","Use when wet footwear needs immediate ventilation and removable trays can exit toward the room without blocking the path.","Cleaning improves, while shelf lips, drip containment, lower-edge finish, and visible shoe order become prominent."
"Variation","2","Review","Dry-gear lift-lid bench","Use only for contents that enter dry and with a lid that clears door, wall, and seated users.","Hidden volume increases, but lid control, open-state stability, and finger clearance become release gates."
"Variation","3","Review","Bench with separate coat rail","Use when verified wall structure can carry hanging and climbing misuse independently of the shallow bench.","Vertical storage expands without making the bench top-heavy, but two attachment and clearance systems must align."
"Risk","1","Monitor","Circulation lost to seat comfort","A seated knee, open door, bag, or passing user reduces the surveyed path below its required clearance.","Return to the room mockup and reduce or relocate the bench rather than accepting a permanent bottleneck."
"Risk","2","Monitor","Wet-edge exposure","Water beads or staining appears at shelf edges, feet, joints, or the panel core after shoe storage.","Remove wet contents, dry and inspect the part, then restore the approved finish or replace the vulnerable component."
"Risk","3","Monitor","Trim omitted from footprint","The case stands proud, door contacts it, or the bench cannot sit level because baseboard or casing occupies the planned space.","Stop installation and revise the plinth, back clearance, or overall depth from the actual trim survey."
"Risk","4","Monitor","Shallow edge-load instability","The bench slides, rocks, or lifts a rear foot as a user sits near the front edge.","Remove use load and revise feet, base, footprint, or positive restraint before repeating the staged seat test."
"Finish line","1","Open","Project closeout","The narrow bench earns its entry footprint by preserving movement while providing stable seating and storage that can be cleaned after real footwear use.",""
"Finish line","2","Open","Closeout check 1","The door reaches its required open position and the surveyed walking path remains clear with a representative user seated.",""
"Finish line","3","Open","Closeout check 2","The front-edge and distributed seat-load tests cause no slide, rock, foot lift, rack, or persistent seat deflection.",""
"Finish line","4","Open","Closeout check 3","Every measured shoe and removable tray enters and exits without contacting the door, divider, or seated user's legs.",""
"Finish line","5","Open","Closeout check 4","Water placed in the wet-storage test remains contained and removable without reaching unsealed panel core or the room floor.",""
"Resource","1","Template","Narrow entryway bench template","/templates/narrow-entryway-bench-cut-list/","Start seat, ends, dividers, rails, shelves, and base after protecting the surveyed walking path."
"Resource","2","Example","Narrow entryway bench example","/examples/narrow-entryway-bench-cut-list/","Review a complete shallow-bench input before adapting its bays to the measured shoe inventory."
"Resource","3","Learn","Entryway shoe storage guide","/learn/entryway-shoe-cabinet-planning-guide/","Translate shoe lengths, boot heights, wet storage, ventilation, and retrieval into compact openings."
"Resource","4","Worksheet","Door and obstruction survey","/worksheets/door-window-obstruction-survey/","Record door arc, casing, handle, baseboard, outlet, vent, and service keep-outs from shared datums."
"Resource","5","Checklist","Delivery and load-in release","/checklists/delivery-load-in-release/","Verify the finished bench can pass the route without damaging doors, walls, users, or the unit."
