"Record type","Order","Status / choice","Item","Prompt / specification","Project value / evidence"
"Brief","1","Open","Room relationship","Measure sofa seat height, reach, rug, walking path, and nearby reclining or drawer movement.",""
"Brief","2","Open","Use pattern","List drinks, books, feet, children, trays, and the heaviest expected point load.",""
"Brief","3","Open","Top design","Set length, width, thickness, corner radius, edge build-up, and visible grain direction.",""
"Brief","4","Open","Base geometry","Record leg inset, stretcher position, floor contact, joinery, and robot-vacuum clearance.",""
"Material","1","Verify","Top panels","Flat plywood skins or selected boards with a documented flattening and edge strategy",""
"Material","2","Verify","Base members","Straight plywood laminations or furniture-grade lumber sized for racking loads",""
"Material","3","Verify","Joinery","Confirmed connectors, glue, dowels, loose tenons, or screws with adequate edge distance",""
"Material","4","Verify","Finish system","Sample-approved sealer and topcoat suitable for heat, moisture, and cleaning",""
"Decision","1","Choose","How will the top stay flat?","A wide visual slab can telegraph panel bow, unbalanced finish, or a twisted base. Options: Use flat stock, balanced construction, and slotted or compatible attachment | Laminate two plywood layers on a verified flat caul | Pull a bowed top flat with base screws",""
"Decision","2","Choose","What makes the base resist racking?","Four legs connected only to a top can loosen when the table is pushed sideways. Options: Use aprons, stretchers, or a rigid panel base with tested joints | Use wide leg plates with rated hardware | Rely on glue at four small end-grain contacts",""
"Decision","3","Choose","When should the final edge profile be chosen?","Rounded corners, veneer thickness, banding, and the finish sample all change how the table feels and wears. Options: Test the complete edge and finish on a full-thickness offcut | Use a replaceable solid-wood edge | Round through thin veneer after assembly",""
"Phase","1","Open","Measure","Fit the table to the sofa, room traffic, users, and daily objects.","Evidence: Scaled room sketch and declared table-use boundary. Hold: Stop if the chosen footprint blocks a required walkway or moving seat."
"Phase","2","Open","Plan","Resolve proportion, flatness, racking resistance, joinery, edge treatment, and finish.","Evidence: Dimensioned table with joint, attachment, and finish notes. Hold: Stop if the top-to-base attachment must hide panel bow or joint error."
"Phase","3","Open","Cut","Create flat, matched top and base components with clean visible edges.","Evidence: Flat component set and approved edge/finish sample. Hold: Stop on twist, mismatched paired legs, or veneer breakthrough."
"Phase","4","Open","Assemble","Build a square, rigid base and attach a flat top without introducing stress.","Evidence: Table standing flat with passing side-load and diagonal checks. Hold: Stop if one foot lifts or any joint opens under moderate hand pressure."
"Phase","5","Open","Install","Place and level the freestanding table in its actual use zone without floor damage.","Evidence: Final room-clearance and floor-contact record. Hold: Stop if a sharp projection enters the normal walking or reclining envelope."
"Phase","6","Open","Closeout","Verify stability and finish resistance, then retain the finish recipe for repairs.","Evidence: Function check and finish-maintenance note. Hold: Do not close while the table rocks, finish remains uncured, or joints continue moving."
"Variation","1","Review","Plywood waterfall profile","Use when matched outside faces and a continuous top-to-side visual line matter more than removable legs.","Miter or fold geometry, veneer sequence, clamp access, and edge impact become the defining build controls."
"Variation","2","Review","Open-shelf base","Use when books or trays need a lower plane and the center support fits knee and vacuum clearances.","The shelf and divider can resist racking, but they change leg space, visual mass, and finish access."
"Variation","3","Review","Knock-down base","Use when the table must move through a constrained route or be flat-packed without weakening repeated assembly points.","Rated inserts, bolt access, anti-rotation details, and an owner assembly sequence replace permanent glued joints."
"Risk","1","Monitor","Untested room proportion","The top blocks the walking path, sits beyond comfortable reach, or conflicts with reclining furniture.","Return to a full-size floor and height mockup and revise the top before cutting or laminating finish material."
"Risk","2","Monitor","Decorative but weak base","The table sways laterally or a joint line opens when the top edge is pushed.","Unload the table and add a deliberate apron, stretcher, panel, or redesigned joint along the observed force direction."
"Risk","3","Monitor","Veneer breakthrough","Routing or sanding exposes substrate at the rounded top edge or corner.","Stop profiling, use the approved full-thickness edge sample, and change the edge build-up rather than blending through veneer."
"Risk","4","Monitor","Top pulled out of flat","A foot lifts or the top twists after attachment or after one finish face cures.","Release stressed attachment, restore balanced finishing and a flat top, then reattach without forcing top or base."
"Finish line","1","Open","Project closeout","The coffee table fits its seating group, stands without stored stress, and handles everyday edge, surface, and lateral loads through observable structure.",""
"Finish line","2","Open","Closeout check 1","All feet remain in contact on the intended floor and the table does not rock after the top is attached.",""
"Finish line","3","Open","Closeout check 2","A moderate push from each long and short direction produces no opening joint or persistent rack.",""
"Finish line","4","Open","Closeout check 3","The approved edge profile shows no exposed substrate and every normal contact corner feels consistent.",""
"Finish line","5","Open","Closeout check 4","The cured finish passes the planned water-cleanup check on the matched sample and completed top.",""
"Resource","1","Template","Coffee table cut list template","/templates/coffee-table-cut-list/","Start the top, base, apron, shelf, or leg parts after testing the table footprint in the room."
"Resource","2","Example","Coffee table worked example","/examples/coffee-table-cut-list/","Inspect a complete coffee-table input and sheet layout before changing its top and base proportions."
"Resource","3","Learn","One-sheet plywood furniture guide","/learn/one-sheet-plywood-furniture-guide/","Balance visible faces, edge build-up, joinery stock, and cut sequence within a constrained sheet."
"Resource","4","Checklist","Dry-fit release","/checklists/dry-fit-release/","Verify table diagonals, joint seating, top attachment, floor contact, and assembly order before glue."
"Resource","5","Troubleshooting","Miter joint will not close","/troubleshooting/miter-joint-will-not-close/","Trace angle, stock thickness, reference face, clamp pressure, and cumulative-length causes at a visible edge."
