"Record type","Order","Status / choice","Item","Prompt / specification","Project value / evidence"
"Brief","1","Open","Permission and boundaries","Record lease or building approval, load, fire, railing, drainage, facade, and attachment restrictions.",""
"Brief","2","Open","Balcony envelope","Measure door swing, threshold, railing, drain, slope, outlet, wind exposure, and cleaning access.",""
"Brief","3","Open","Delivery module","Measure elevator, stair, door, turns, lift weight, and whether final assembly must happen outside.",""
"Brief","4","Open","Contents and lid","List cushions or tools, wet tolerance, ventilation, lid weight, open angle, and wind restraint.",""
"Material","1","Verify","Exterior structure","Exterior-rated plywood or durable boards selected for local exposure and finish",""
"Material","2","Verify","Drainage base","Raised feet, open channels, removable floor, and non-staining pads",""
"Material","3","Verify","Exterior hardware","Corrosion-compatible hinges, supports, latches, fasteners, and handles",""
"Material","4","Verify","Weather details","Drips, gaps, sealed end grain, ventilated liners, and replaceable wear parts",""
"Material","5","Verify","Exterior finish","Current product system applied to all specified faces and edges before exposure",""
"Decision","1","Choose","Should the storage compartment be watertight?","A sealed box can still receive condensation and small leaks, then hold water against stored items and joints. Options: Shed bulk water while providing drainage and cross-ventilation | Use removable weather-resistant bins inside a ventilated bench | Caulk every joint into an airtight plywood chest",""
"Decision","2","Choose","How will the lid behave in wind?","An open outdoor lid can act as a sail, while a loose closed lid can lift or slam. Options: Use corrosion-compatible positive open and closed restraints | Use a removable lightweight panel stored indoors | Rely on lid weight",""
"Decision","3","Choose","Can the bench attach to the building?","Railings, waterproof membranes, facades, and shared structures may prohibit drilling or added wind loads. Options: Follow written property requirements and use an approved method | Keep the bench freestanding within a tested low stable footprint | Drill into railing, facade, or deck membrane without approval",""
"Phase","1","Open","Measure","Document permission, balcony path, drainage, exposure, delivery, and lid movement.","Evidence: Approved boundary note and balcony/delivery survey. Hold: Stop if attachment, load, fire, egress, or drainage requirements are unresolved."
"Phase","2","Open","Plan","Create a modular, draining, ventilated bench with controlled lid and replaceable weather details.","Evidence: Exploded bench and water-path drawing. Hold: Stop if any part blocks a drain, railing function, door, or required access path."
"Phase","3","Open","Cut","Prepare exterior parts, protected edges, and assembly interfaces before weather exposure.","Evidence: Coated edge sample and passing lid/drainage mockup. Hold: Stop on exposed incompatible core, trapped horizontal ledges, or hardware corrosion conflict."
"Phase","4","Open","Assemble","Build square transportable modules and verify lid, ventilation, and drainage before delivery.","Evidence: Dry interior after test with visible drainage and controlled lid cycles. Hold: Stop if water pools, enters unprotected core, or cannot be inspected and removed."
"Phase","5","Open","Install","Carry, connect, level, and place the bench within approved balcony boundaries.","Evidence: Final path, drain, foot, and restraint clearance record. Hold: Stop if the bench rocks toward the railing or reduces the required path."
"Phase","6","Open","Closeout","Test seat load, wind-control hardware, drainage, cleaning, and seasonal storage routine.","Evidence: Use and weather-maintenance record. Hold: Do not close while the lid can slam, water remains trapped, or the bench migrates under hand load."
"Variation","1","Review","Two-module carry-in bench","Use when elevator, stair, or balcony door limits reject the complete finished bench but permit two safe lifting modules.","A serviceable connector seam and exterior assembly sequence replace one rigid box while seat load must cross the joint."
"Variation","2","Review","Slatted bench with removable bins","Use when approved weather-resistant bins can protect contents and leave the wood shell open to drain and dry.","Water management simplifies, while bin handles, lift clearance, wind retention, and replacement size control storage."
"Variation","3","Review","Low cushion platform","Use when dry cushions can be stored elsewhere and the balcony needs seating more than enclosed volume.","Lid risks disappear and wind profile drops, but cushion retention, drying, and open slat support remain necessary."
"Risk","1","Monitor","Unauthorized building attachment","The plan requires drilling railing, facade, slab, membrane, or shared structure without written method approval.","Stop installation and obtain property or qualified direction, or redesign as an allowed tested freestanding unit."
"Risk","2","Monitor","Blocked drain or exit","The final feet, open lid, seated user, or stored module overlaps the surveyed drain or required access path.","Move or resize the bench and repeat simultaneous path and drainage checks before loading or restraint."
"Risk","3","Monitor","Wind-driven lid","The lid lifts against its latch, accelerates near open, or moves the bench during a controlled hand check.","Keep the lid closed and unload it until positive open/closed restraint and final-weight geometry are corrected."
"Risk","4","Monitor","Condensation trap","Moisture remains on liner, floor, underside, or panel edges after the weather test and drying interval.","Remove contents and liner, open the drainage and ventilation path, and repair affected finish before reuse."
"Finish line","1","Open","Project closeout","The balcony bench respects the building before it serves storage: it travels in, stays within permission, preserves drainage and access, and controls outdoor water and lid motion.",""
"Finish line","2","Open","Closeout check 1","Each finished module passes the recorded elevator, stair, door, turn, and lifting route without impact or uncontrolled handling.",""
"Finish line","3","Open","Closeout check 2","The installed bench, open lid, and seated user remain outside the required access path, drain, railing, and door envelopes.",""
"Finish line","4","Open","Closeout check 3","A controlled water test exits through the designed path and leaves no hidden standing water after the inspection interval.",""
"Finish line","5","Open","Closeout check 4","The finished lid stays positively held open and closed while the bench remains stable under its declared seat load.",""
"Resource","1","Template","Balcony storage bench template","/templates/balcony-storage-bench-cut-list/","Draft transportable modules, seat, lid, base, and drained floor inside the approved footprint."
"Resource","2","Example","Balcony storage bench example","/examples/balcony-storage-bench-cut-list/","Inspect a complete balcony-bench input before changing module, lid, and storage dimensions."
"Resource","3","Learn","Storage bench hinge clearance guide","/learn/storage-bench-hinge-clearance-guide/","Map lid weight, wall or railing gap, support geometry, finger clearance, and open angle."
"Resource","4","Worksheet","Delivery path measurement","/worksheets/delivery-path-measurement/","Record elevator, stair, doorway, turn, lift weight, and outdoor staging for each bench module."
"Resource","5","Compare","Pressure-treated wood vs cedar","/compare/pressure-treated-vs-cedar/","Compare outdoor durability, weight, finishing, fastener compatibility, and contact boundaries for the shell."
