"Record type","Order","Status / choice","Item","Prompt / specification","Project value / evidence"
"Brief","1","Open","Crop and root program","Record crops, root depth, spacing, trellis, rotation, soil volume, and seasonal access.",""
"Brief","2","Open","Site and utilities","Map sun, slope, drainage, irrigation, buried utilities, tree roots, setbacks, and local restrictions.",""
"Brief","3","Open","Reach and paths","Set bed width from one- or two-sided reach plus path width, wheelbarrow turn, and mobility needs.",""
"Brief","4","Open","Wet load and materials","Estimate saturated soil pressure and choose side, corner, brace, fastener, and ground-contact strategy.",""
"Material","1","Verify","Bed sides","Durable suitable boards or approved material sized for span, height, and wet-soil exposure",""
"Material","2","Verify","Corner and mid-span structure","Posts, cleats, stakes, or external braces with serviceable connections",""
"Material","3","Verify","Corrosion-compatible fasteners","Exterior screws or bolts selected for the wood treatment and soil environment",""
"Material","4","Verify","Drainage and soil-retention layer","Open base, optional mesh where appropriate, and fabric used only without blocking drainage",""
"Material","5","Verify","Irrigation and edge details","Tubing supports, cap rails, trellis blocking, and replaceable contact strips",""
"Decision","1","Choose","How wide should the bed be?","A generous planting area fails when the center requires stepping into and compacting the soil. Options: Set width from tested reach on every accessible side | Use a wider bed with a deliberate central access path | Use four feet wide against a wall",""
"Decision","2","Choose","What resists wet-soil pressure?","Side force increases with soil depth, water, span, and loss of connection stiffness over time. Options: Use corners and intermediate braces sized for the declared height and span | Reduce bed height or side-bay length | Add soil first and brace if the boards bow",""
"Decision","3","Choose","Should the bottom be lined?","A blanket liner can block drainage, trap roots, or create a perched water layer. Options: Keep an open draining base and use only purpose-specific permeable barriers | Use a raised contained floor only for a designed accessible planter | Install an impermeable sheet without an engineered outlet",""
"Phase","1","Open","Measure","Verify crop needs, utilities, sun, slope, drainage, reach, paths, and saturated soil volume.","Evidence: Site plan and garden-use/load brief. Hold: Stop if utilities, runoff, property rules, or supporting ground are unresolved."
"Phase","2","Open","Plan","Divide the bed into reachable, braced, draining bays with accessible irrigation and paths.","Evidence: Bed plan with structural bays, paths, and fill sequence. Hold: Stop if soil delivery would arrive before the empty structure can be inspected."
"Phase","3","Open","Cut","Prepare durable side, corner, brace, and cap parts with protected ends and repeatable bay lengths.","Evidence: Labeled parts and approved connection/material sample. Hold: Stop on unsuitable treated material, split ends, weak edge distance, or incompatible metal."
"Phase","4","Open","Assemble","Build a square empty bed and prove every brace and irrigation route before soil conceals it.","Evidence: Square empty bed with complete structural and drainage inspection. Hold: Stop if sides move under hand pressure or drainage fabric bridges outlets."
"Phase","5","Open","Install","Place, level, and stabilize the bed while preserving site drainage and path geometry.","Evidence: Final site, path, level, and drainage record before fill. Hold: Stop if leveling sends runoff toward a structure or path width is lost."
"Phase","6","Open","Closeout","Fill in controlled lifts, observe side movement and drainage, and retain maintenance access.","Evidence: Filled-bed inspection with before/after side measurements. Hold: Do not close after bowing, joint movement, standing water, or path settlement."
"Variation","1","Review","Two-sided vegetable bed","Use when paths remain available along both long sides and the tested reach meets at the center without stepping in soil.","A wider productive zone is possible, while irrigation, trellis orientation, and mid-span braces must remain reachable from either side."
"Variation","2","Review","One-sided fence bed","Use only when a narrower tested reach serves the rear crop row and the fence retains required inspection access.","Width decreases and rear fasteners, weeds, irrigation, and trellis work need a planned front-access sequence."
"Variation","3","Review","Accessible contained planter","Use when a qualified structural design provides a supported floor, drainage, and approach clearance above ground.","It is no longer a simple open-bottom bed; saturated-floor load, outlet maintenance, and accessibility geometry govern the build."
"Risk","1","Monitor","Unreachable center soil","Planting, weeding, or harvest requires stepping in soil or leaning beyond the approved reach mockup.","Reduce bed width or add a deliberate non-soil access path before filling and planting the affected bay."
"Risk","2","Monitor","Long-side soil bow","Side boards move outward, brace gaps open, or corner fasteners rotate during staged fill or watering.","Stop filling, unload the affected lift safely, and add or redesign corner and intermediate restraint before resuming."
"Risk","3","Monitor","Accidental water basin","Water stands above an impermeable layer or drains only through an unverified puncture after irrigation.","Remove fill as needed, restore a purposeful permeable or engineered outlet path, and retest empty before refill."
"Risk","4","Monitor","Soil arrives before release","Bulk delivery blocks paths or pressures the team to fill before square, brace, utility, and drainage checks pass.","Hold or relocate delivery and complete the empty-bed inspection; schedule pressure cannot substitute for structural evidence."
"Finish line","1","Open","Project closeout","The raised bed remains a reachable, draining garden after saturated soil is added, with observable structure and repair access around every loaded bay.",""
"Finish line","2","Open","Closeout check 1","Every planting point can be reached from the approved path without stepping into soil or loading the side wall.",""
"Finish line","3","Open","Closeout check 2","Before-and-after measurements show no continuing side bow, corner opening, brace movement, or path settlement after watering.",""
"Finish line","4","Open","Closeout check 3","A full irrigation test drains through the intended ground or engineered outlet without standing water against side members.",""
"Finish line","5","Open","Closeout check 4","Paths, irrigation valves, trellis connections, braces, and replaceable side fasteners remain accessible after final fill.",""
"Resource","1","Template","Raised garden bed cut list template","/templates/raised-garden-bed-cut-list/","Start sides, corners, braces, caps, and trellis blocking from the approved bed bays."
"Resource","2","Related example","Related planter-box panel example","/examples/planter-box-cut-list/","Inspect related outdoor panel inputs and limits; this is not a complete raised-bed construction example."
"Resource","3","Compare","Pressure-treated wood vs cedar","/compare/pressure-treated-vs-cedar/","Review treatment, food-garden boundaries, exposure, fasteners, weight, and maintenance before purchase."
"Resource","4","Learn","Material estimation for carpentry","/learn/material-estimation-for-carpentry/","Convert bed bays, braces, caps, waste, and replacement pieces into practical stock quantities."
"Resource","5","Checklist","Moisture and acclimation release","/checklists/moisture-acclimation-release/","Inspect outdoor stock condition and movement before fixing long side boards into loaded bays."
