"Record type","Order","Status / choice","Item","Prompt / specification","Project value / evidence"
"Brief","1","Open","Work program","List assembly, hand-tool, machine, clamping, storage, and outfeed roles by priority.",""
"Brief","2","Open","Working height","Record user elbow height, task posture, top thickness, caster mode, and any machine deck.",""
"Brief","3","Open","Moving envelope","Measure doorway, aisle, floor joints, ramps, cord zones, turning circle, and parking bay.",""
"Brief","4","Open","Load and caster data","Total bench, stored tool, project, side load, wheel diameter, capacity, mounting, and brake type.",""
"Material","1","Verify","Bench structure","Plywood torsion panels or straight framing with defined lateral bracing",""
"Material","2","Verify","Worktop","Flat replaceable skin or laminated top suited to clamps and planned operations",""
"Material","3","Verify","Mobility system","Load-rated casters, mounting plates, bolts, leveling feet, or retracting mechanism",""
"Material","4","Verify","Storage components","Shelves, drawers, stops, and positive retention for tools while moving",""
"Material","5","Verify","Shop finish","Durable low-slip finish with replaceable wear surfaces",""
"Decision","1","Choose","How will the bench become rigid when parked?","Swivel and wheel brakes reduce rolling but may not remove caster compliance or floor rocking. Options: Unload casters onto leveling feet or a positive parked base | Use high-quality total-lock casters on a flat floor | Rely on two wheel brakes for planing and clamping",""
"Decision","2","Choose","What sets the final bench height?","Top build-up, casters, leveling feet, and machine decks all add height after the cabinet is cut. Options: Mock up the complete support stack at the actual task | Use adjustable leveling feet within a defined range | Cut the base to a standard height before choosing casters",""
"Decision","3","Choose","How will stored tools be controlled during movement?","A short roll across a threshold can shift drawers, blades, clamps, or a heavy machine. Options: Use positive drawer, door, and machine retention | Empty the worktop and lock selected storage before each move | Assume shelf lips and drawer friction are enough",""
"Phase","1","Open","Measure","Map tasks, working height, movement route, parking floor, and complete load.","Evidence: Shop route and finished-height/load stack. Hold: Stop if caster data or total loaded mass is only a guess."
"Phase","2","Open","Plan","Design a rigid parked load path, mobile footprint, clamping access, and retained storage.","Evidence: Bench section with parked/moving states and load path. Hold: Stop if the bench cannot pass the narrowest route in its actual moving state."
"Phase","3","Open","Cut","Produce square frame panels, flat top parts, and reinforced caster mounting zones.","Evidence: Flat top blank and passing mobility-hardware mount sample. Hold: Stop on weak edge distance, bowed panels, or inaccessible future bolts."
"Phase","4","Open","Assemble","Build a square base, attach mobility hardware, and prove parked stability before adding storage load.","Evidence: Unloaded bench that rolls, parks level, and resists side force. Hold: Stop if wheel mounts flex, fasteners loosen, or one corner cannot support the parked load."
"Phase","5","Open","Install","Move the bench through the real route and establish its safe parking and utility zones.","Evidence: Completed movement trial and parked-level record. Hold: Stop when a wheel catches, the bench exceeds control, or utilities cross the rolling path."
"Phase","6","Open","Closeout","Load in stages and verify stability, retention, clamping, and top flatness in use.","Evidence: Loaded mobility and work-function test. Hold: Do not close while the bench creeps, rocks, racks, or releases stored items."
"Variation","1","Review","Retractable-caster assembly bench","Use when the bench must rest on fixed feet for clamping but roll occasionally on a flat verified route.","A positive lift mechanism adds moving hardware, foot clearances, and a loaded transition test between mobile and parked states."
"Variation","2","Review","Saw-height outfeed bench","Use after the installed saw table, floor, caster stack, and stock path are measured together.","Top height and placement become machine datums, so even small caster or floor changes can catch workpieces."
"Variation","3","Review","Removable machine module","Use when a named machine can be lifted safely and has documented power, extraction, center-of-mass, and securing points.","The module needs positive parked retention, a level repeatable seat, and a safe empty-bay work configuration."
"Risk","1","Monitor","Caster stack omitted","The finished top exceeds the posture or machine datum before leveling feet are extended.","Hold top attachment, rebuild the full floor-to-work stack, and resize the base rather than accepting harmful height."
"Risk","2","Monitor","Compliant parked base","The bench creeps, twists, or rebounds during planing, clamping, or side pressure despite locked wheels.","Stop forceful work and transfer load onto positive fixed supports or revise the declared task boundary."
"Risk","3","Monitor","Threshold instability","One edge lifts, steering force spikes, or the load leans as the first wheels cross a joint or ramp.","Return to level parking, lower or redistribute load, and revise wheelbase, wheel size, route, or handling method."
"Risk","4","Monitor","Unrestrained stored load","A drawer opens, machine shifts, or sharp tool moves during the empty-route or loaded movement test.","Stop the cart, add positive retention for that item, and restart the movement sequence from the parking state."
"Finish line","1","Open","Project closeout","The workbench changes state deliberately: controllable while moving, rigid while working, and organized so stored mass cannot surprise the operator.",""
"Finish line","2","Open","Closeout check 1","The fully loaded bench clears every recorded doorway, turn, and threshold without lifting a wheel or losing steering control.",""
"Finish line","3","Open","Closeout check 2","In parked mode the top remains level and the base shows no creep or rack under the declared side-load task.",""
"Finish line","4","Open","Closeout check 3","Every drawer, door, machine, and loose tool remains positively retained through a start, turn, threshold, and stop.",""
"Finish line","5","Open","Closeout check 4","The measured working surface matches the released posture or outfeed datum after mobility and leveling hardware are installed.",""
"Resource","1","Template","Mobile workbench cut list template","/templates/mobile-workbench-cut-list/","Draft base, bracing, top, shelf, and storage parts after resolving caster and parked heights."
"Resource","2","Example","Mobile workbench worked example","/examples/mobile-workbench-cut-list/","Inspect a complete mobile-bench input and layout before changing its footprint and storage bays."
"Resource","3","Learn","Mobile workbench caster planning","/learn/mobile-workbench-caster-planning/","Calculate loaded mass, wheelbase, caster stack, parking support, and travel-route consequences."
"Resource","4","Checklist","First-article cut release","/checklists/first-article-cut-release/","Verify one structural panel or repeated bay part before cutting the full workbench batch."
"Resource","5","Troubleshooting","Build sequence blocks assembly","/troubleshooting/build-sequence-blocks-assembly/","Find captive hardware, inaccessible bolts, top attachment, and storage-order conflicts before glue-up."
