"Record type","Order","Status / choice","Item","Prompt / specification","Project value / evidence"
"Brief","1","Open","Load case","List the heaviest realistic arrangement and where its center of mass sits.",""
"Brief","2","Open","Wall structure","Locate studs, blocking, masonry, services, finish thickness, and reliable fastener zones.",""
"Brief","3","Open","Shelf envelope","Set length, depth, thickness, edge profile, and slide-on clearance.",""
"Brief","4","Open","Support system","Record bracket model, rod length, hole size, spacing, rating, and installation tolerance.",""
"Material","1","Verify","Shelf skins","Stable plywood or selected solid stock suited to the intended finish",""
"Material","2","Verify","Internal structure","Straight ribs, torsion-box grid, or manufacturer-compatible blocking",""
"Material","3","Verify","Concealed supports","Complete rated bracket or rod system with correct wall fasteners",""
"Material","4","Verify","Edge and finish","Front edge, end treatment, adhesive, finish, and touchup material",""
"Decision","1","Choose","What defines the shelf capacity?","The limiting component may be the shelf skin, internal frame, bracket, fastener, or wall structure. Options: Verify the entire load path against one declared load case | Use a conservative display-only limit | Assume more brackets always solve the problem",""
"Decision","2","Choose","How will the shelf slide onto hidden rods?","Wall corners, adjacent cabinets, and rod alignment can block the required installation movement. Options: Model the full insertion path and end clearance | Use a two-piece or bottom-access attachment | Force the shelf onto misaligned rods",""
"Decision","3","Choose","How will bracket holes be referenced?","Hidden holes must align with the installed bracket in depth, spacing, angle, and elevation. Options: Use one verified jig from the installed bracket datum | Transfer each rod location individually | Measure each hole from opposite shelf ends",""
"Phase","1","Open","Measure","Define wall structure, shelf envelope, load location, and the hidden support's installation path.","Evidence: Wall map and shelf section with load and installation envelopes. Hold: Stop if wall structure or concealed service locations are unknown."
"Phase","2","Open","Plan","Match shelf construction and support spacing to the declared load and finish.","Evidence: Dimensioned shelf, bracket map, and complete load-path note. Hold: Stop if a bracket lands outside reliable structure or its rated embedment cannot be achieved."
"Phase","3","Open","Cut","Create straight skins, internal support, and accurately referenced bracket cavities.","Evidence: Passing jig sample and labeled shelf components. Hold: Stop on drill wander, loose cavities, or a bowed front edge."
"Phase","4","Open","Assemble","Build a flat shelf whose hidden cavity remains aligned and clear after glue-up.","Evidence: Flat assembled shelf that slides onto a bench-mounted bracket sample. Hold: Stop if adhesive squeeze-out or frame movement blocks the support path."
"Phase","5","Open","Install","Anchor the support on one level datum and mount the shelf without prying or hidden damage.","Evidence: Level reading, attachment record, and smooth unloaded installation. Hold: Stop if the shelf requires impact, visible flex, or unplanned wall anchors."
"Phase","6","Open","Closeout","Apply the declared load gradually and preserve capacity, bracket, and removal information.","Evidence: Load test within the design boundary plus installation photos. Hold: Do not close if movement continues after unloading or any attachment loosens."
"Variation","1","Review","Thin torsion shelf","Use when a shallow visual profile is required but internal ribs can still surround the selected support geometry.","Skin flatness, rib spacing, adhesive coverage, and bracket-cavity alignment replace simple solid-panel assumptions."
"Variation","2","Review","Solid-wood shelf","Use when suitable dry stock, grain, wall exposure, and seasonal movement allowances are understood.","Rod clearances and attachment must permit wood movement without leaving the shelf loose or splitting around holes."
"Variation","3","Review","Trapped-end shelf","Use beside a corner or cabinet only with a support system that does not require impossible sideways insertion.","Bottom-access fasteners or a staged bracket must replace the normal slide-on installation and removal sequence."
"Risk","1","Monitor","Hardware-rating shortcut","The stated shelf capacity cites only a bracket number and omits shelf, fastener, and wall behavior.","Rebuild the load-path check across every component and reduce the declared use until the complete system is supported."
"Risk","2","Monitor","Drill-pattern drift","The shelf begins to bind before seating or one rod marks a different side of its cavity.","Stop forcing the shelf, compare all centers to the single jig datum, and correct the bracket or cavity pattern."
"Risk","3","Monitor","Missing insertion clearance","The shelf cannot travel far enough to engage rods because an end meets a wall, cabinet, or trim.","Redesign the support or shelf segmentation; do not shorten engagement or pry the installed surroundings."
"Risk","4","Monitor","Unverified wall material","A fastener spins, misses structure, crushes finish, or produces a different substrate than the wall map.","Unload and remove the shelf, identify a suitable attachment location or system, and repair the abandoned opening appropriately."
"Finish line","1","Open","Project closeout","The floating shelf hides its support without hiding uncertainty: alignment, wall attachment, insertion, load, and removal have all been observed.",""
"Finish line","2","Open","Closeout check 1","The unloaded shelf slides fully into place by hand without impact, prying, or visible bracket deflection.",""
"Finish line","3","Open","Closeout check 2","Its front edge remains at the released level and deflection boundary under the staged declared load.",""
"Finish line","4","Open","Closeout check 3","No wall fastener, bracket, cavity, or retention point moves after loading and unloading.",""
"Finish line","5","Open","Closeout check 4","Bracket locations, load limit, removal direction, and inspection access are recorded for the owner.",""
"Resource","1","Template","Floating shelf cut list template","/templates/floating-shelf-cut-list/","Start the skins, front edge, ribs, and blocking around the chosen concealed support system."
"Resource","2","Example","Floating shelf worked example","/examples/floating-shelf-cut-list/","Inspect a fixed shelf input and layout before substituting your span, depth, and construction."
"Resource","3","Calculator","Shelf sag calculator","/shelf-sag-calculator/","Check the shelf material, span, depth, thickness, and load before finalizing the internal frame."
"Resource","4","Checklist","Floating shelf installation release","/checklists/floating-shelf-installation/","Release bracket alignment, verified structure, insertion clearance, retention, and loaded level."
"Resource","5","Troubleshooting","Diagnose a sagging shelf","/troubleshooting/shelf-sagging/","Distinguish panel deflection, bracket rotation, fastener movement, and wall failure signals."
