"Record type","Order","Status / choice","Item","Prompt / specification","Project value / evidence"
"Brief","1","Open","Contents","List cushion, tool, hose, toy, soil, chemical, wet-entry, ventilation, and separation requirements.",""
"Brief","2","Open","Weather exposure","Record rain direction, wind, sun, freeze, splash, standing water, and covered or open placement.",""
"Brief","3","Open","Lid system","Measure finished lid weight, open angle, wall gap, handle, pinch zones, supports, and both-state latches.",""
"Brief","4","Open","Base and runoff","Map slope, feet, airflow, drain destination, surface staining, anchoring permission, and cleaning access.",""
"Material","1","Verify","Exterior shell","Exterior-rated panels or durable boards with protected cuts and serviceable joints",""
"Material","2","Verify","Raised base","Replaceable runners or feet that isolate the box and preserve drainage",""
"Material","3","Verify","Lid assembly","Stable framed lid, drip edge, compatible hinges, supports, latches, and bumpers",""
"Material","4","Verify","Ventilated interior","Removable floor, vent screens, dividers, and cleanable liner where appropriate",""
"Material","5","Verify","Finish and hardware","Exterior coating plus corrosion-compatible fasteners and fittings",""
"Decision","1","Choose","How should rain be managed at the lid?","A flush seam can admit wind-driven water even when the top looks flat and tight. Options: Use slope, overhang, drip edges, and a drained ventilated inner boundary | Use a fitted weather-resistant cover over a ventilated box | Caulk the lid permanently around its frame",""
"Decision","2","Choose","How is the heavy lid controlled?","Wind and changing leverage can exceed a support that felt adequate near closed position. Options: Match paired supports and positive latches to measured lid mass and geometry | Divide the lid into smaller independently controlled panels | Use a loose prop stick",""
"Decision","3","Choose","Should wet items be placed directly inside?","Water brought in on toys, hoses, or tools can remain below dry cushions and against the floor. Options: Separate wet and dry zones with removable drained components | Require wet items to dry before storage | Store all gear in one sealed compartment",""
"Phase","1","Open","Measure","Define contents, wet-entry behavior, weather, lid clearance, base, runoff, and permission boundaries.","Evidence: Exposure and use brief with water and lid envelopes. Hold: Stop if runoff, anchoring, wind, or stored-content safety is unresolved."
"Phase","2","Open","Plan","Layer rain shedding, ventilation, drainage, lid control, raised support, and service access.","Evidence: Exploded water-management and lid-hardware plan. Hold: Stop if the design traps water beneath a fixed floor or behind an uninspectable liner."
"Phase","3","Open","Cut","Prepare exterior parts and samples before assembly hides wet edges and hardware mounting zones.","Evidence: Passing lid-control and rain-edge samples. Hold: Stop on panel swelling, incompatible hardware, or unsupported lid fastener zones."
"Phase","4","Open","Assemble","Build a square, draining box and cycle the finished-weight lid before exposure.","Evidence: Dry inspectable interior and stable controlled lid. Hold: Stop if water pools, supports drift, or latches miss after cycling."
"Phase","5","Open","Install","Set the box above the surface with free drainage, airflow, lid travel, and permitted restraint.","Evidence: Final placement, drain, lid, and restraint record. Hold: Stop if the box bridges a drain, rocks, or opens into a railing or wall."
"Phase","6","Open","Closeout","Test weather path, wet/dry storage, lid safety, and routine inspection after loading.","Evidence: Loaded weather and function test. Hold: Do not close with trapped water, uncontrolled lid travel, or inaccessible wet surfaces."
"Variation","1","Review","Dry-bin cushion box","Use when removable lidded bins fit the complete cushion set and can be lifted through the lid opening.","The shell can ventilate freely while bin handles, lid clearance, condensation inspection, and seasonal removal control capacity."
"Variation","2","Review","Drained garden-tool bay","Use when wet tools and hose fittings can stand in a separate removable floor zone away from dry contents.","Drainage and abrasion-resistant liners enter the tool bay while sharp items need positive retention from the lid."
"Variation","3","Review","Two controlled lids","Use when separate storage zones benefit from smaller moving panels and each opening has independent hardware clearance.","Individual lid mass falls, but seam water management, simultaneous-open stability, and paired latch maintenance increase."
"Risk","1","Monitor","Flat-seam rain entry","Water appears at the lid joint, hinge line, or upper wall during a directional spray test.","Dry the box and revise slope, overhang, drip, gasket, or inner drainage before storing sensitive contents."
"Risk","2","Monitor","Support mismatch after finishing","The finished lid falls, rises by itself, twists supports, or misses latches through its travel.","Unload and restrain the lid, weigh or calculate the final assembly, and correct matched support geometry."
"Risk","3","Monitor","Wet-dry content mixing","Cushions or dry gear show moisture transfer from tools, toys, hose, or the compartment floor.","Remove contents, dry the box, and install a removable drained separation before returning dry-sensitive items."
"Risk","4","Monitor","Saturated bottom contact","Feet, bottom edges, or fasteners remain wet or stained after surrounding runoff clears.","Raise and isolate the box on replaceable supports, restore drainage and finish, and repeat the water test."
"Finish line","1","Open","Project closeout","The outdoor box protects by shedding, separating, draining, and drying rather than by concealing water behind a heavy lid.",""
"Finish line","2","Open","Closeout check 1","The controlled directional water test leaves the dry-storage zone dry and sends introduced water through the visible drain path.",""
"Finish line","3","Open","Closeout check 2","The finished-weight lid completes repeated cycles, stays at the intended open angle, and latches closed without slam or twist.",""
"Finish line","4","Open","Closeout check 3","Representative wet and dry contents remain separated and every liner, floor, vent, and drain can be removed or inspected.",""
"Finish line","5","Open","Closeout check 4","All feet and lower edges clear standing water and remain visible after the box is placed on its final surface.",""
"Resource","1","Template","Outdoor storage box template","/templates/outdoor-storage-box-cut-list/","Start shell, floor, lid, rails, feet, and dividers after separating wet and dry contents."
"Resource","2","Example","Outdoor storage box example","/examples/outdoor-storage-box-cut-list/","Review a complete outdoor-box input before adapting its capacity, lid, and exterior material."
"Resource","3","Learn","Storage lid hinge clearance guide","/learn/storage-bench-hinge-clearance-guide/","Resolve finished lid mass, hinge axis, support leverage, wall gap, latch, and finger zones."
"Resource","4","Compare","Pressure-treated wood vs cedar","/compare/pressure-treated-vs-cedar/","Evaluate the shell material against weather, handling weight, coating, and hardware choices."
"Resource","5","Checklist","Finish cure release","/checklists/finish-cure-release/","Confirm coat schedule, cure, hardness, odor, handling, and weather exposure readiness before loading."
