"Record type","Order","Status / choice","Item","Prompt / specification","Project value / evidence"
"Brief","1","Open","Wall elevation","Record cabinet top, bottom, adjacent tall units, backsplash, ceiling, and finished counter references.",""
"Brief","2","Open","Attachment map","Locate verified studs, blocking, masonry, rails, and no-drill service zones.",""
"Brief","3","Open","Door and reach envelope","Record door swing, crown, lighting, appliance, and comfortable shelf access.",""
"Brief","4","Open","Load and cabinet grouping","List stored contents, shelf spans, cabinet sequence, and any shared finished end.",""
"Material","1","Verify","Cabinet plywood","3/4 in panels for sides, tops, bottoms, and shelves",""
"Material","2","Verify","Structural back or rails","Back panel, nailers, or tested hanging-rail components sized for the design",""
"Material","3","Verify","Doors and edges","Door stock, matching edge treatment, bumpers, and confirmed hinges",""
"Material","4","Verify","Attachment system","Fasteners and brackets selected for verified wall structure and cabinet load",""
"Decision","1","Choose","What carries the cabinet load into the wall?","The visible box is only as reliable as the continuous load path through its back or rails and into known structure. Options: Designed hanging rails into verified structure | Full structural back with distributed fastening | Screws through a thin back wherever studs seem to be",""
"Decision","2","Choose","How will the cabinet meet a sloped ceiling or wall?","A square cabinet needs a controlled reveal or fit part where the room is irregular. Options: Keep the box square and fit a separate scribe or crown zone | Use an oversized finished end at one exposed side | Rack the cabinet until both corners touch",""
"Decision","3","Choose","When should doors be installed?","Doors help verify reveals but add weight and can obstruct safe lifting and fastening. Options: Fit and label doors on the bench, then remove them for hanging | Install doors only after the boxes are hung | Lift fully loaded cabinets with doors and shelves installed",""
"Phase","1","Open","Measure","Map the wall, attachment structure, vertical datums, and every swing or service conflict.","Evidence: Wall elevation with structure, no-drill zones, and controlling heights. Hold: Stop if the intended fastener locations or concealed services are unknown."
"Phase","2","Open","Plan","Resolve box grouping, hanging system, shelf loads, doors, fillers, and installation order.","Evidence: Cabinet schedule and wall-attachment drawing with load-path notes. Hold: Stop if the cabinet-to-wall load path cannot be described component by component."
"Phase","3","Open","Cut","Cut matched cabinet parts and machine repeatable attachment and hinge references.","Evidence: Labeled parts plus passing hinge-pattern and rail-fit samples. Hold: Stop when left/right parts, faces, or top/bottom references are ambiguous."
"Phase","4","Open","Assemble","Build square boxes and prove the back or rail connection before installation.","Evidence: Square cabinet with recorded diagonals and verified hanging components. Hold: Stop if the back or rail can move independently of the box under hand load."
"Phase","5","Open","Install","Transfer the cabinet load safely into verified structure while keeping the run level and aligned.","Evidence: Level and plumb run with fastener locations and cabinet joints recorded. Hold: Stop if a fastener misses structure or a service zone conflicts with the plan."
"Phase","6","Open","Closeout","Restore doors and shelves, verify function and load assumptions, and document the attachment system.","Evidence: Function test, attachment photos, and final reveal record. Hold: Do not close if a door collision, cabinet movement, or unresolved fastener remains."
"Variation","1","Review","Finished-interior open cabinet","Use when the cabinet has no doors and every inside face, edge, and hanging detail remains visible.","Material face selection, seam location, fastener concealment, and shelf-edge finish become primary layout inputs."
"Variation","2","Review","Glass-door display cabinet","Use after glass, hinge, shelf, and displayed-object weights and safety boundaries are confirmed.","Door sag, shelf load, reflected reveals, and lighting clearances require tighter bench and installed function checks."
"Variation","3","Review","Continuous hanging-rail garage run","Use where verified wall structure supports a level rated rail across multiple cabinet bays.","Individual boxes share one attachment datum, so rail straightness, connector access, and end restraint control the installation."
"Risk","1","Monitor","Concealed-service strike","A planned wall fastener enters an unverified or marked no-drill zone.","Stop drilling, confirm service location with an appropriate method, and redesign the attachment layout rather than shifting blindly."
"Risk","2","Monitor","Back-panel load shortcut","Wall screws bear only on a thin back skin or the back moves relative to the case.","Unload the cabinet and add or redesign a verified structural rail/back connection tied into the case sides."
"Risk","3","Monitor","Room variation racks the case","Diagonals and door reveals change when the cabinet is drawn toward the wall or ceiling.","Keep the case square, correct shims and fit parts outside the box, and repeat the attachment check."
"Risk","4","Monitor","Door swing collision","A door contacts crown, side wall, appliance, lighting, or its neighboring door before full travel.","Hold final adjustment and revise hinge angle, filler, door size, or adjacent condition from the measured collision envelope."
"Finish line","1","Open","Project closeout","The wall cabinet transfers its load through documented cabinet members and fasteners into verified structure while the case remains square and usable.",""
"Finish line","2","Open","Closeout check 1","The cabinet top and bottom datums remain level after joining and final fastening.",""
"Finish line","3","Open","Closeout check 2","Recorded fasteners land in the verified structure and the back or hanging rail does not move relative to the case.",""
"Finish line","4","Open","Closeout check 3","Every door opens to its released angle without contact and paired reveals remain consistent.",""
"Finish line","5","Open","Closeout check 4","Shelves remain seated and the cabinet shows no movement under the declared staged load.",""
"Resource","1","Template","Wall cabinet cut list template","/templates/wall-cabinet-cut-list/","Draft sides, top, bottom, shelves, back, and hanging members for the measured wall bay."
"Resource","2","Example","Wall cabinet worked example","/examples/wall-cabinet-cut-list/","Review a complete wall-cabinet parts input and its orientation-sensitive plywood layout."
"Resource","3","Learn","Wall cabinet plywood layout guide","/learn/wall-cabinet-plywood-layout-guide/","Plan tall sides, matched faces, backs, and repeat cases without losing hanging-rail stock."
"Resource","4","Checklist","Wall cabinet installation release","/checklists/wall-cabinet-installation/","Verify support, structure, temporary holding, level, joining, and final fastening before loading."
"Resource","5","Troubleshooting","Wall cabinets are not level","/troubleshooting/wall-cabinets-not-level/","Separate rail, wall, shim, box-square, and face-alignment errors in an installed run."
