"Record type","Order","Status / choice","Item","Prompt / specification","Project value / evidence"
"Brief","1","Open","User envelope","Record intended user range, seat height, width, depth, back angle, and arm clearance.",""
"Brief","2","Open","Load cases","Define seated load, front-edge entry, side shift, back lean, and misuse excluded from the design.",""
"Brief","3","Open","Panel specification","Record plywood product, actual thickness, ply quality, grain faces, defect limits, and lot.",""
"Brief","4","Open","Joint strategy","Name each structural joint, bearing face, fastener, adhesive, and inspection access.",""
"Material","1","Verify","Structural plywood","Known high-quality panel with suitable core, faces, and verified actual thickness",""
"Material","2","Verify","Mockup material","Full-size inexpensive sheet or framing stock for ergonomic and assembly trials",""
"Material","3","Verify","Structural connectors","Specified bolts, inserts, dowels, loose tenons, or screws with test pieces",""
"Material","4","Verify","Adhesive","Compatible structural woodworking adhesive used within its documented process",""
"Material","5","Verify","Contact-safe finish","Fully cured finish and rounded edge sample suited to skin and clothing contact",""
"Decision","1","Choose","When is the seating geometry approved?","Small drawings conceal pressure points, entry movement, and how back angle changes effective seat depth. Options: After a full-size adjustable mockup is used by representative users | Adapt a proven geometry within a narrow measured change | Cut the final chair from a thumbnail sketch",""
"Decision","2","Choose","How should plywood grain and plies cross the load path?","Chair sides, back, and seat see bending and joint stress in different directions. Options: Orient and size each part from its declared bending and joint loads | Laminate paired parts with a tested balanced schedule | Rotate every part for best sheet yield",""
"Decision","3","Choose","What releases the first chair for use?","A glue cure or visually tight joint does not demonstrate stability under real multi-direction loads. Options: A documented incremental load and movement test on the finished first article | A professional review for a novel or high-consequence design | Immediate use because the joints feel rigid",""
"Phase","1","Open","Measure","Define representative users, movement, floor contact, and chair load cases.","Evidence: User envelope and explicit chair load-case brief. Hold: Stop if the target user range or use environment is undefined."
"Phase","2","Open","Plan","Resolve ergonomic geometry, material orientation, joints, edge radii, and test sequence.","Evidence: Approved mockup plus structural part and test plan. Hold: Stop if a critical joint has no accessible sample or load path."
"Phase","3","Open","Cut","Create defect-free structural parts and joint samples with protected contact edges.","Evidence: Matched components and passing joint-coupon evidence. Hold: Stop on core voids, delamination, short edge distance, or mismatched sides."
"Phase","4","Open","Assemble","Build one square first article with traceable joints and full adhesive cure.","Evidence: Cured first article with joint and geometry record. Hold: Stop if clamps or bolts are needed to pull misaligned joints into place."
"Phase","5","Open","Install","Fit feet or glides and place the chair on the intended floor for stability testing.","Evidence: Stable floor contact and edge-safety inspection. Hold: Stop if the chair rocks, tips easily, or exposes a pinch or snag point."
"Phase","6","Open","Closeout","Release the chair only after incremental loading and post-test inspection show no permanent change.","Evidence: Signed first-article test with before/after measurements. Hold: Do not close after cracking, looseness, permanent deflection, or unexplained noise."
"Variation","1","Review","Slot-together ergonomic prototype","Use only as a full-size geometry and assembly study, not as automatically released seating.","Adjustable slots accelerate seat and back iteration while final structural joints remain a separate tested design."
"Variation","2","Review","Laminated side frames","Use when paired plywood layers can cure flat and connector holes remain far from edges and internal defects.","Balanced glue coverage and matched frames increase stiffness but add laminate and post-drill inspection gates."
"Variation","3","Review","Through-bolted knock-down chair","Use when repeated transport is required and every bolt, bearing face, spacer, and locking method remains inspectable.","Serviceable joints replace concealed glue, but looseness, protrusion, clothing contact, and torque checks enter closeout."
"Risk","1","Monitor","Final material used as mockup","Seat height, depth, back angle, or entry movement is still being debated after structural parts are cut.","Stop final assembly and return to an adjustable full-size mockup with representative users."
"Risk","2","Monitor","Yield-driven grain rotation","A narrow chair member or fastener row crosses face grain differently from the released force-path drawing.","Quarantine the part and recut with the declared orientation; do not discount a seating load to save the piece."
"Risk","3","Monitor","Insufficient fastener edge distance","Ply splitting, bulging, crushing, or a visible crack appears around a bolt, insert, or screw.","Remove load, reject the member, and redesign the joint geometry with a tested full-thickness coupon."
"Risk","4","Monitor","Appearance-only release","No recorded staged seat, front-edge, back, and side-load results exist for the finished first article.","Keep the chair out of service and complete the defined test with before-and-after joint and deflection inspection."
"Finish line","1","Open","Project closeout","The plywood chair has earned use through an approved ergonomic mockup, traceable structural parts, and a finished first article that survived its declared load cases.",""
"Finish line","2","Open","Closeout check 1","Representative users can enter, sit, shift, lean, and exit without a pressure point, pinch, or unstable movement.",""
"Finish line","3","Open","Closeout check 2","All floor contacts remain planted and the chair returns to its original geometry after each staged load case.",""
"Finish line","4","Open","Closeout check 3","No joint shows looseness, cracking, ply separation, permanent deflection, or unexplained sound after testing.",""
"Finish line","5","Open","Closeout check 4","Every skin-contact edge is smooth and all exposed fasteners remain clear of clothing and body contact.",""
"Resource","1","Template","Plywood chair cut list template","/templates/plywood-chair-cut-list/","Start the seat, back, sides, rails, and connectors only after the full-size seating mockup passes."
"Resource","2","Example","Plywood chair worked example","/examples/plywood-chair-cut-list/","Inspect one chair's complete rectangular input without treating its geometry as a tested seating design."
"Resource","3","Learn","Plywood core selection guide","/learn/plywood-core-selection-by-cabinet-part/","Evaluate core, void, face, screw-holding, machining, and edge needs before assigning chair parts."
"Resource","4","Checklist","Mockup approval","/checklists/mockup-template-approval/","Approve user posture, entry, exit, contact edges, and transferred datums on a full-scale mockup."
"Resource","5","Troubleshooting","Plywood delaminates at the cut","/troubleshooting/plywood-delaminates-at-cut/","Investigate panel quality, blade, support, feed, and damage before accepting a structural chair member."
