"Record type","Order","Status / choice","Item","Prompt / specification","Project value / evidence"
"Brief","1","Open","Closet envelope","Measure width and height at several points plus depth, baseboard, doors, access panels, and floor variation.",""
"Brief","2","Open","Wardrobe inventory","Count long hang, double hang, folded stacks, shoes, bags, drawers, and seasonal overflow.",""
"Brief","3","Open","Delivery and tip-up","Record doorway, corner, ceiling diagonal, assembly staging, and whether the tower must split.",""
"Brief","4","Open","Hardware zones","Specify rods, drawer slides, shelf-pin pattern, pulls, hinges, and wall restraint.",""
"Material","1","Verify","Tower panels","3/4 in plywood or finished panels for sides, fixed shelves, and base",""
"Material","2","Verify","Adjustable shelves","Thickness and edge build-up checked for the intended folded load and span",""
"Material","3","Verify","Drawer components","Drawer stock, bottoms, confirmed slides, fronts, and pulls",""
"Material","4","Verify","Closet hardware","Rods, sockets, shelf pins, brackets, and anti-tip attachment components",""
"Material","5","Verify","Fit parts","Filler, scribe, base, and top trim sized from the field survey",""
"Decision","1","Choose","Should the tower be built in one piece?","The finished diagonal and turning path can exceed the room even when the tower fits upright. Options: Split at a designed fixed-shelf or connector plane | Assemble the tall case inside the closet | Build full height and hope it tips up",""
"Decision","2","Choose","How will hanging and shelf zones be allocated?","Clothing dimensions, rod height, shelf thickness, and drawer fronts compete for the same vertical space. Options: Lay out from measured wardrobe categories | Use adjustable zones within a fixed structural frame | Divide the tower into equal boxes",""
"Decision","3","Choose","Where will room variation be absorbed?","Closet walls and floors are rarely square enough for a full-width rigid assembly. Options: Use level base plus side and top fit parts | Leave a deliberate open reveal at one side | Wedge the tower between both walls",""
"Phase","1","Open","Measure","Capture the closet envelope, wardrobe inventory, delivery path, and verified anchor zones.","Evidence: Closet elevation plus wardrobe and delivery-path records. Hold: Stop if ceiling low point, doorway clearance, or wall structure is unverified."
"Phase","2","Open","Plan","Convert storage demand into modular zones, hardware clearances, fit parts, and installation sequence.","Evidence: Released elevation, module sections, and hardware schedule. Hold: Stop if a drawer, rod, or module cannot be assembled and serviced in sequence."
"Phase","3","Open","Cut","Produce paired sides, aligned shelf-pin rows, square modules, and clearly separated fit parts.","Evidence: Labeled modules with matching pin patterns and passing hardware sample. Hold: Stop if handed panels or module break references become ambiguous."
"Phase","4","Open","Assemble","Build square transportable modules and prove drawers, shelves, and rods before entering the closet.","Evidence: Square modules with recorded diagonals and complete dry-stack height. Hold: Stop if stacked joints depend on wall pressure or hidden inaccessible fasteners."
"Phase","5","Open","Install","Level, stack, connect, anchor, and fit the system without losing door or drawer clearance.","Evidence: Anchored system with level, restraint, filler, and movement-clearance evidence. Hold: Stop if a module cannot be restrained before the next one is lifted into place."
"Phase","6","Open","Closeout","Load representative contents, test moving components, and record adjustment and capacity limits.","Evidence: Loaded function test and final closet configuration record. Hold: Do not close while a tower moves, a drawer rubs, or a rod support loosens."
"Variation","1","Review","Low-ceiling split tower","Use when the standing tower fits but its tip-up diagonal or doorway turn does not.","A designed horizontal joint, connector access, and stacking restraint divide the case into transportable modules."
"Variation","2","Review","Drawer tower between double-hang bays","Use when measured garments leave enough vertical space for drawers and two independent rod zones.","Drawer fronts, rod sockets, shelf thickness, and clothing drop must share one reconciled elevation."
"Variation","3","Review","Removable-fit renter tower","Use where wall work is limited but an allowed anti-tip method and deliberate side reveals are available.","Removable fillers handle room variation while the tower still needs positive restraint and clean disassembly."
"Risk","1","Monitor","Trapped full-height case","The delivery mockup or diagonal calculation touches ceiling, door head, corner, or closet opening.","Hold fabrication, introduce a designed module break, and rerun the route with the largest finished module."
"Risk","2","Monitor","Mirrored pin rows","Shelf pins form mismatched elevations or front/rear offsets across paired tower sides.","Quarantine the pair, confirm face and bottom datums, and recut or repair only through a verified symmetric jig plan."
"Risk","3","Monitor","Installed case rack","Drawer travel, shelf seating, or diagonals change when the tower meets baseboard or floor variation.","Release restraint, level the base and fit external trim, restore case square, then re-anchor."
"Risk","4","Monitor","Rod-drawer collision","Hanging garments, rod socket screws, or rod support enters drawer travel or usable opening.","Stop hardware installation and reconcile the complete vertical and depth sections before drilling more parts."
"Finish line","1","Open","Project closeout","The closet tower reaches the room in proven modules, stands square on its own leveled base, and serves the measured wardrobe without hardware collisions.",""
"Finish line","2","Open","Closeout check 1","Every finished module travels through the recorded route and connects without forcing walls, ceiling, or case joints.",""
"Finish line","3","Open","Closeout check 2","The installed tower remains level and plumb with positive restraint at the documented structure.",""
"Finish line","4","Open","Closeout check 3","Drawers complete full loaded travel, shelves sit at matching pin elevations, and rods remain secure under representative clothing.",""
"Finish line","5","Open","Closeout check 4","Long-hang, double-hang, folded, shoe, and drawer zones retain the clear dimensions promised in the wardrobe brief.",""
"Resource","1","Template","Closet tower cut list template","/templates/closet-tower-cut-list/","Start tower sides, fixed shelves, adjustable shelves, base, and drawer parts by module."
"Resource","2","Example","Closet tower worked example","/examples/closet-tower-cut-list/","Inspect a complete tower dataset before replacing its heights, bays, and sheet assumptions."
"Resource","3","Learn","Closet shelving workflow","/learn/closet-shelving-cut-list-workflow/","Translate hanging, folded, shoe, and drawer inventory into usable vertical zones."
"Resource","4","Checklist","Closet system installation release","/checklists/closet-system-installation/","Verify base level, module joints, restraint, rods, drawers, and wall fit in the closet."
"Resource","5","Worksheet","Delivery path measurement","/worksheets/delivery-path-measurement/","Record door, turn, ceiling, module, lift, and staging limits before choosing tower breaks."
