"Record type","Order","Status / choice","Item","Prompt / specification","Project value / evidence"
"Brief","1","Open","Planting program","Record plant type, mature root volume, soil depth, spacing, irrigation, and seasonal removal.",""
"Brief","2","Open","Saturated load","Estimate wet growing medium, water reservoir, planter structure, and any rolling hardware.",""
"Brief","3","Open","Drain destination","Map outlets, slope, deck gaps, staining risk, splash, neighbors, and freeze path.",""
"Brief","4","Open","Exposure and material","Record sun, rain, freeze, ground contact, panel or board product, fastener compatibility, and finish.",""
"Material","1","Verify","Exterior shell","Durable boards or exterior-rated panels appropriate to exposure and finish",""
"Material","2","Verify","Internal support","Rails, cleats, or frames sized for wet-soil pressure and a supported false floor",""
"Material","3","Verify","Water-management layer","Removable liner or planting insert, filter fabric, drainage gaps, and outlet components",""
"Material","4","Verify","Exterior hardware","Corrosion-compatible fasteners, feet, brackets, and optional handles",""
"Material","5","Verify","Finish and isolation","Exterior finish, sealed end grain, and non-staining pads or replaceable feet",""
"Decision","1","Choose","Does soil contact the wooden shell?","Wet growing medium holds moisture and fertilizer against joints and hidden panel edges. Options: Use a removable planting insert or drained liner separated from the shell | Use naturally durable boards with open drainage and replaceable interior parts | Fill a sealed plywood box directly with soil",""
"Decision","2","Choose","Where does excess water go?","Drainage that exists only as holes may still stain surfaces, rot feet, or affect spaces below. Options: Route water through a visible serviceable outlet to an approved destination | Use a removable tray with defined overflow and inspection | Let water find deck gaps",""
"Decision","3","Choose","Should the planter have casters?","Wet soil makes a compact planter far heavier and more top-heavy than its empty shell. Options: Use a separately rated low rolling platform based on saturated load | Use fixed feet and move only when empty | Add small furniture casters after planting",""
"Phase","1","Open","Measure","Define plant needs, saturated load, exposure, drain destination, and surface limits.","Evidence: Planting, load, and water-path brief. Hold: Stop if runoff destination or supporting surface capacity is uncertain."
"Phase","2","Open","Plan","Separate structural shell, planting containment, drainage, feet, and replaceable weather parts.","Evidence: Section showing soil, water, structure, and repair paths. Hold: Stop if water must cross an unsealed structural joint to exit."
"Phase","3","Open","Cut","Prepare exterior components and protect end grain, holes, and edges before assembly.","Evidence: Protected parts and passing liner/drain sample. Hold: Stop on incompatible fasteners, trapped ledges, or inaccessible raw edges."
"Phase","4","Open","Assemble","Build a square shell and prove support and drainage without soil hiding the work.","Evidence: Empty planter that drains completely and remains inspectable. Hold: Stop if water pools, leaks into panel core, or exits onto an unapproved surface."
"Phase","5","Open","Install","Place and level the planter so feet, drainage, access, and wind behavior match the surveyed location.","Evidence: Final placement and drainage-clearance record. Hold: Stop if the planter blocks access or transfers load to an unsuitable edge or railing."
"Phase","6","Open","Closeout","Load soil in stages, retest drainage, and record seasonal inspection and repair points.","Evidence: Loaded water test and maintenance schedule. Hold: Do not close while the shell bulges, water backs up, or supporting feet settle."
"Variation","1","Review","Slatted shell with nursery pots","Use when standard removable containers provide the required root volume and can be lifted safely when serviced.","The shell stays ventilated and soil-free, while pot support, visual gaps, irrigation capture, and replacement sizes drive the frame."
"Variation","2","Review","Long herb trough","Use when shallow-root crops, irrigation flow, and one approved drain destination support a narrow continuous bed.","A serviceable drain manifold and intermediate wet-load supports prevent one blocked outlet or long side from controlling failure."
"Variation","3","Review","Separately rolling planter","Use only when a low platform is rated for the complete saturated mass and the surface route is level and unobstructed.","Mobility remains replaceable beneath the shell, but wheelbase, brakes, steering, runoff, and no-passenger rules need closeout."
"Risk","1","Monitor","Dry-weight design","Feet, side panels, handles, or casters deflect as soil is watered toward saturation.","Stop filling or moving, unload safely, and redesign from the declared saturated medium, water, shell, and plant mass."
"Risk","2","Monitor","Uncontrolled runoff","Water reaches a wall, neighbor, deck edge, staining surface, or area outside the approved drain destination.","Stop irrigation, contain the discharge, and reroute through a visible serviceable outlet before reloading the planter."
"Risk","3","Monitor","Wet liner contact","Moisture remains trapped between liner and unsealed shell edge after the drainage test.","Remove the liner, dry and repair the edge, then add separation and ventilation before soil installation."
"Risk","4","Monitor","Hardware-material reaction","Fasteners or wood develop streaking, corrosion, loosening, or discoloration at wet joints.","Quarantine the connection and replace it with a compatible documented material after inspecting surrounding wood."
"Finish line","1","Open","Project closeout","The planter behaves as a water-managed growing container and a repairable outdoor shell, with saturated load and discharge visible rather than hidden.",""
"Finish line","2","Open","Closeout check 1","The filled and fully watered planter shows no persistent side bow, foot settlement, joint opening, or support movement.",""
"Finish line","3","Open","Closeout check 2","Test water reaches only the documented outlet or removable tray and no moisture remains against vulnerable shell edges.",""
"Finish line","4","Open","Closeout check 3","The planting insert, liner, tray, or outlet can be removed and cleaned without dismantling structural sides.",""
"Finish line","5","Open","Closeout check 4","Feet, fasteners, finish edges, and the downstream surface remain inspectable after the final irrigation test.",""
"Resource","1","Template","Planter box cut list template","/templates/planter-box-cut-list/","Start shell, rails, floor, feet, and trim rows after sizing the plant and wet-soil program."
"Resource","2","Example","Planter box worked example","/examples/planter-box-cut-list/","Inspect a fixed planter input and sheet result without inheriting its drainage or crop assumptions."
"Resource","3","Compare","Pressure-treated wood vs cedar","/compare/pressure-treated-vs-cedar/","Compare exposure life, weight, treatment boundaries, fastener compatibility, and finish maintenance."
"Resource","4","Checklist","Moisture and acclimation release","/checklists/moisture-acclimation-release/","Check stock condition, environment, movement, storage, and machining release before exterior assembly."
"Resource","5","Learn","Material estimation for carpentry","/learn/material-estimation-for-carpentry/","Convert shell, support, trim, test, and replacement needs into a whole-stock purchase plan."
