"Record type","Order","Status / choice","Item","Prompt / specification","Project value / evidence"
"Brief","1","Open","Opening and run","Record width at floor, counter, and wall plus every adjacent appliance or filler.",""
"Brief","2","Open","Floor and wall variation","Mark the floor high point, wall lean, and the intended finished face datum.",""
"Brief","3","Open","Construction system","Choose face-frame or frameless, back style, toe-kick method, and material thickness.",""
"Brief","4","Open","Hardware envelope","Name doors, drawers, slides, hinges, pulls, plumbing, and service keep-outs.",""
"Material","1","Verify","Cabinet plywood","3/4 in veneer-core panels for sides, deck, stretchers, and shelves",""
"Material","2","Verify","Back panel","1/4 in plywood sized to the verified groove and box diagonal",""
"Material","3","Verify","Base and blocking","Straight plywood strips or stable lumber for the leveled toe-kick platform",""
"Material","4","Verify","Cabinet hardware","Confirmed hinges or slides, mounting plates, screws, and shelf pins",""
"Material","5","Verify","Fit material","Matching filler, scribe strip, shims, and edge banding",""
"Decision","1","Choose","How will the cabinet meet the uneven floor?","The cabinet must reference the room high point without forcing every box side to be custom tapered. Options: Level a separate ladder base first | Use adjustable cabinet legs | Cut each cabinet side to the floor",""
"Decision","2","Choose","When should door and drawer openings be fixed?","Overlay, slide clearance, face-frame width, and material build-up all change finished opening geometry. Options: After exact hardware and construction are selected | Use a proven shop standard with a hardware check | Size fronts from the rough opening at installation",""
"Decision","3","Choose","How much wall variation should the cabinet absorb?","A fitted run needs deliberate fillers or scribes rather than a nominal wall-to-wall total. Options: Reserve measured filler and scribe widths | Use one oversized end panel | Build boxes to the largest measured width",""
"Phase","1","Open","Measure","Establish the smallest usable cabinet envelope and the room datums that control the run.","Evidence: A dimensioned wall-and-floor profile tied to one finished face datum. Hold: Stop if appliance, plumbing, or countertop information is provisional."
"Phase","2","Open","Plan","Convert the field envelope into square boxes, fit parts, hardware openings, and a leveled base.","Evidence: Released cabinet schedule with box widths, openings, materials, and fit allowances. Hold: Stop if the complete width chain does not reconcile to the smallest run dimension."
"Phase","3","Open","Cut","Produce labeled panels from measured material while protecting reference edges and visible faces.","Evidence: Measured first-article record plus labeled parts grouped by cabinet ID. Hold: Stop when diagonals, groove fit, or paired-part dimensions disagree."
"Phase","4","Open","Assemble","Build a square box whose back, stretchers, and openings hold the released geometry.","Evidence: Square box, recorded diagonals, and one functioning hardware sample. Hold: Stop if hardware adjustment is already at its limit on the bench."
"Phase","5","Open","Install","Level the base, place square cabinets on the datum, and fit only the planned scribe parts.","Evidence: Level run with verified appliance gaps, face alignment, and anchoring record. Hold: Stop if fastening changes box square or closes a required service clearance."
"Phase","6","Open","Closeout","Confirm function, update the as-built dimensions, and preserve adjustments for later fronts or countertop work.","Evidence: Signed closeout record with final openings, photos, and unresolved holds. Hold: Do not close while a countertop, appliance, or plumbing dependency remains unverified."
"Variation","1","Review","Sink base service bay","Use when drain, supplies, disposer, or filter equipment occupy the center of the cabinet.","Replace central drawers with a mapped removable floor and bounded service openings while retaining front and rear structure."
"Variation","2","Review","Three-drawer base","Use only after one exact slide system and the complete drawer-front reveal stack are frozen.","The box gains three independent moving envelopes, so opening heights, stretcher locations, and first-article checks become hardware-driven."
"Variation","3","Review","Narrow pull-out base","Use when a slim remaining bay has clear adjacent-door and appliance movement.","A tall moving load needs anti-racking hardware, positive travel control, and a verified fully loaded stability test."
"Risk","1","Monitor","Late floor high point","The installed cabinet tops rise above the run datum or require progressively thicker shims.","Pause the run, resurvey the full floor, and reset the ladder base from the true high point before fitting cabinets."
"Risk","2","Monitor","Unfrozen drawer hardware","Slide clearance, setback, or mounting holes do not match the released opening chain.","Hold drawer production, verify the exact hardware on one opening, and revise box, drawer, and front dimensions together."
"Risk","3","Monitor","Fastener-induced rack","Cabinet diagonals or door reveals change as wall screws are tightened.","Release the fastener, correct the shim and wall-contact plane, then refasten while monitoring both diagonals."
"Risk","4","Monitor","Consumed filler allowance","The remaining filler cannot cover wall variation while preserving the appliance or service gap.","Stop scribing, reconcile the complete run-width chain, and resize fit parts or cabinet allocation before installation continues."
"Finish line","1","Open","Project closeout","The base cabinet is a square serviceable box fitted to an imperfect room without transferring room error into doors, drawers, or appliance openings.",""
"Finish line","2","Open","Closeout check 1","Both cabinet diagonals remain within the released tolerance after final anchoring.",""
"Finish line","3","Open","Closeout check 2","The installed top datum is level across the run while every specified appliance and service gap remains open.",""
"Finish line","4","Open","Closeout check 3","Every door, drawer, and removable shelf completes its travel with hardware adjustment still available.",""
"Finish line","5","Open","Closeout check 4","Final filler, scribe, fastener, and opening dimensions are recorded against the active cabinet revision.",""
"Resource","1","Template","Base cabinet cut list template","/templates/base-cabinet-cut-list/","Start the box, deck, stretcher, shelf, and back rows before adding room-specific fillers."
"Resource","2","Example","Base cabinet worked example","/examples/base-cabinet-cut-list/","Inspect a complete base-cabinet input and modeled sheet layout before replacing its dimensions."
"Resource","3","Learn","Cabinet box cut list basics","/learn/cabinet-box-cut-list-basics/","Trace outside size, material thickness, back construction, and openings into individual case parts."
"Resource","4","Checklist","Base cabinet installation release","/checklists/base-cabinet-installation/","Release leveling, face alignment, appliance gaps, and anchoring at the installed run."
"Resource","5","Troubleshooting","Base cabinets on an uneven floor","/troubleshooting/base-cabinets-uneven-floor/","Isolate floor high-point, base, shim, and cabinet-racking causes before trimming production parts."
