"Record type","Order","Status / choice","Item","Prompt / specification","Project value / evidence"
"Brief","1","Open","Seat use","Record user count, expected load, cushion thickness, finished seat height, and edge comfort.",""
"Brief","2","Open","Stored contents","Measure the largest basket, shoe, toy, or blanket and required ventilation.",""
"Brief","3","Open","Lid envelope","Trace open angle, wall gap, hinge projection, stay location, and finger-safe access.",""
"Brief","4","Open","Placement","Record baseboard, floor variation, heater vents, restraint point, and cleaning access.",""
"Material","1","Verify","Structural plywood","3/4 in panels for ends, dividers, seat frame, and load path",""
"Material","2","Verify","Lid or seat panel","Stable panel sized for span, hinge screws, and edge treatment",""
"Material","3","Verify","Lid-control hardware","Confirmed hinges, stays, soft-close supports, bumpers, and fasteners",""
"Material","4","Verify","Base and restraint","Leveling feet, plinth material, or wall restraint suited to the placement",""
"Material","5","Verify","Durable finish","Cleanable finish and compatible edge protection for high-contact surfaces",""
"Decision","1","Choose","How will the lid be controlled through its full travel?","A heavy lid changes leverage as it opens and can pinch fingers or strike the wall. Options: Use tested lid supports matched to weight and geometry | Use a divided or lighter lid | Rely on friction hinges without a weight check",""
"Decision","2","Choose","What carries the seated load?","The top panel alone should not bridge a long storage opening without a defined support path. Options: Transfer load through ends, dividers, and a front/back rail system | Add a centered divider under the longest span | Increase finish thickness on an unsupported lid",""
"Decision","3","Choose","Should the bench be restrained?","Tall backs, open lids, children climbing, and uneven floors can shift the center of mass. Options: Evaluate tip and slide behavior, then anchor where needed | Use a wide plinth and non-slip feet for a low freestanding bench | Assume stored weight prevents movement",""
"Phase","1","Open","Measure","Fit the bench to users, contents, room surfaces, and the complete lid movement.","Evidence: Room and lid-envelope sketch with load and storage dimensions. Hold: Stop if the lid hardware or largest stored item is not known."
"Phase","2","Open","Plan","Build a structural path around usable storage and controlled moving hardware.","Evidence: Sectioned bench plan showing structure, storage, lid, and restraint. Hold: Stop if hardware screws land in weak edges or a divider blocks the intended contents."
"Phase","3","Open","Cut","Produce paired structural panels, a flat lid, and accurate hardware reference pieces.","Evidence: Passing lid-hardware mockup and measured structural parts. Hold: Stop if the lid is warped or the hardware cannot reach its rated geometry."
"Phase","4","Open","Assemble","Create a square, rack-resistant bench and test the lid at finished weight.","Evidence: Stable box and controlled lid that holds and closes as intended. Hold: Stop if any support detaches, binds, or slams during repeated cycles."
"Phase","5","Open","Install","Level and place the bench without blocking air, doors, or cleaning access.","Evidence: Final placement record with level, clearance, and restraint evidence. Hold: Stop if placement creates a pinch point or covers a required vent or service."
"Phase","6","Open","Closeout","Prove seating, storage, lid control, and routine cleaning under normal use.","Evidence: Function test and owner-facing load and lid-care note. Hold: Do not close while the bench rocks, lid behavior changes, or restraint loosens."
"Variation","1","Review","Vented shoe bench","Use when baskets or open bays can separate wet footwear from the structural seat and room surfaces.","Vent area, drip control, basket retrieval, and lower-edge finish replace a sealed storage floor."
"Variation","2","Review","Divided blanket lids","Use when two smaller openings serve the contents and each lid has its own controlled support.","Moving mass decreases, but the center seam, paired hinges, simultaneous-open stability, and cushion split need testing."
"Variation","3","Review","Mudroom back panel","Use only when the tall coat or hook panel has an independent attachment path into verified wall structure.","The bench remains seating, while hanging and climbing loads bypass the lid and shallow storage box."
"Risk","1","Monitor","Mismatched lid supports","The finished lid drops, accelerates, refuses to close, or twists one support before the other.","Unload the lid, verify final mass and mounting geometry, then select and reposition matched hardware from current data."
"Risk","2","Monitor","Unsupported seat span","The seat visibly deflects, joints open, or the lid rubs when load is applied between dividers.","Remove use load and add a designed rail, divider, or shorter span before repeating the staged test."
"Risk","3","Monitor","Open-lid instability","The bench slides, rocks, or tips toward the wall as the lid reaches its hold-open angle.","Stop use, revise feet or restraint and lid geometry, then retest with the compartment empty and loaded."
"Risk","4","Monitor","Blocked room ventilation","The plinth covers a heater or return path, or warm air concentrates inside storage.","Move or redesign the bench around the verified service clearance; do not cut an improvised vent without system review."
"Finish line","1","Open","Project closeout","The storage bench behaves as seating, moving-lid furniture, and storage at the same time without one role defeating another.",""
"Finish line","2","Open","Closeout check 1","The seat holds the declared distributed and edge-load tests without rocking, persistent deflection, or opening joints.",""
"Finish line","3","Open","Closeout check 2","The finished-weight lid opens, holds, and closes repeatedly without slamming or exposing a finger pinch.",""
"Finish line","4","Open","Closeout check 3","Every named basket or stored item can be removed without contacting hinges, supports, or the seat frame.",""
"Finish line","5","Open","Closeout check 4","The installed bench preserves room ventilation, lid clearance, cleaning access, and any required restraint.",""
"Resource","1","Template","Storage bench cut list template","/templates/storage-bench-cut-list/","Draft ends, dividers, rails, seat, lid, and storage floor around the real basket program."
"Resource","2","Example","Storage bench worked example","/examples/storage-bench-cut-list/","Review a complete storage-bench input and modeled sheet result before changing its bays."
"Resource","3","Learn","Storage bench hinge clearance guide","/learn/storage-bench-hinge-clearance-guide/","Map hinge axis, wall gap, lid thickness, supports, and finger clearance through the full arc."
"Resource","4","Checklist","Hardware function test","/checklists/cabinet-hardware-function-test/","Cycle the finished-weight lid, stays, hinges, latches, and bumpers before release."
"Resource","5","Troubleshooting","Diagnose a lid or door that will not close","/troubleshooting/cabinet-doors-will-not-close/","Check hinge bind, case square, bumper thickness, support overtravel, and trapped contents."
