"Record type","Order","Status / choice","Item","Prompt / specification","Project value / evidence"
"Brief","1","Open","Bed relationship","Measure mattress top, frame projection, wall gap, bedding overhang, and comfortable reach.",""
"Brief","2","Open","Bedside contents","List lamp base, books, glasses, devices, medication, and drawer organizers.",""
"Brief","3","Open","Drawer system","Record exact slide length, side clearance, setback, load, disconnect, and minimum box height.",""
"Brief","4","Open","Cable route","Locate outlet, plug body, charging lead, grommet, strain relief, and service access.",""
"Material","1","Verify","Case panels","3/4 in plywood for sides, top, bottom, and fixed rails",""
"Material","2","Verify","Drawer stock","Straight sides plus bottom material compatible with the selected slide",""
"Material","3","Verify","Hardware","Exact slides, pull, stops, grommet, bumpers, and matching fasteners",""
"Material","4","Verify","Back and cable parts","Back panel, removable access cover, and protected cable opening",""
"Material","5","Verify","Finish","Low-odor fully cured system suitable for a sleeping room",""
"Decision","1","Choose","What sets the nightstand height?","Catalog dimensions do not know the actual mattress, topper, frame, or preferred reach. Options: Mock up the top beside the made bed | Match the top within a small range of mattress height | Copy a nightstand height before the mattress arrives",""
"Decision","2","Choose","How should charging cables cross the case?","A casual hole can weaken the back, trap a plug, abrade insulation, or block a drawer. Options: Use a protected path outside drawer and structural zones | Use an open back bay below the drawer | Drill through the assembled back wherever the outlet lands",""
"Decision","3","Choose","When are drawer fronts sized?","Reveal depends on the square installed case, actual slide position, edge build-up, and neighboring openings. Options: Fit fronts after the drawer boxes run correctly in a square case | Cut fronts to drawing size with trim allowance | Use oversized fronts to hide a racked case",""
"Phase","1","Open","Measure","Fit the nightstand to the made bed, user reach, outlet, and room movement.","Evidence: Bedside elevation with reach and cable envelopes. Hold: Stop if the final mattress or slide system is unknown."
"Phase","2","Open","Plan","Coordinate case, drawer, back, power route, base, and visible reveals.","Evidence: Released case section and hardware schedule. Hold: Stop if the plug cannot pass through or a drawer enters the cable zone."
"Phase","3","Open","Cut","Produce square case parts and one verified drawer set from actual material thickness.","Evidence: Labeled case and a passing drawer/slide first article. Hold: Stop if slide clearance or cable-edge protection differs from the plan."
"Phase","4","Open","Assemble","Build a square case, prove quiet drawer travel, and fit fronts without masking geometry errors.","Evidence: Square case with smooth drawers and accessible cable path. Hold: Stop on slide bind, back racking, or a plug that cannot be removed."
"Phase","5","Open","Install","Place the nightstand at the bed, protect the floor, and verify real reach and power use.","Evidence: Final placement and cable-clearance record. Hold: Stop if the cord is pinched, the drawer contacts the bed, or the unit rocks."
"Phase","6","Open","Closeout","Confirm nighttime function, finish cure, and hardware adjustment after the unit is loaded.","Evidence: Loaded function test and maintenance note. Hold: Do not close until finish odor, rocking, or drawer drift is resolved."
"Variation","1","Review","Open cubby plus shallow drawer","Use when books and a device need open reach while small personal items need one controlled drawer.","The fixed cubby shelf becomes structural and its height must preserve both hand access and drawer hardware."
"Variation","2","Review","Side cable portal","Use when the outlet sits beside the case and a rear exit would pinch against the wall or baseboard.","A protected side opening and visible removable clip keep the connector outside drawer and structural zones."
"Variation","3","Review","Adjustable-bed companion","Use after measuring mattress and frame positions across the bed's complete powered movement.","Top height, gap, cable slack, and drawer pull must clear changing bed geometry rather than one static pose."
"Risk","1","Monitor","Premature bedside height","The top sits below bedding, above relaxed reach, or contacts the bed frame in use.","Pause base or foot fabrication, mock up against the final made bed, and revise the finished support stack."
"Risk","2","Monitor","Drawer-cable collision","The drawer rubs a cable, plug, grommet, or power brick near full travel.","Disconnect power, shorten the drawer or relocate the protected cable route, then repeat full-travel testing."
"Risk","3","Monitor","Over-open back","The case changes diagonal or sways after the cable access is cut.","Restore a continuous rail, corner, or structural back path around a smaller serviceable opening."
"Risk","4","Monitor","Cosmetic front correction","Front reveals appear even only while a drawer remains stiff, tilted, or partly closed.","Remove the front, correct case square and slide datums, prove smooth loaded travel, then refit the reveal."
"Finish line","1","Open","Project closeout","The nightstand works from the user's actual sleeping position and keeps drawer, power, back, and floor functions independent and serviceable.",""
"Finish line","2","Open","Closeout check 1","Top height and reach are comfortable beside the made bed without contact through the bed's normal movement.",""
"Finish line","3","Open","Closeout check 2","Each loaded drawer opens, disconnects, closes, and remains shut without audible cable contact or slide bind.",""
"Finish line","4","Open","Closeout check 3","The case remains square and stable with the cable portal and removable back access installed.",""
"Finish line","5","Open","Closeout check 4","The largest intended plug passes through the protected route and can be removed without disassembling the case.",""
"Resource","1","Template","Nightstand cut list template","/templates/nightstand-cut-list/","Seed the compact case, drawer, front, back, and base rows after measuring the made bed."
"Resource","2","Example","Nightstand worked example","/examples/nightstand-cut-list/","Review a fixed nightstand input and layout before adapting drawer count, height, and depth."
"Resource","3","Learn","Drawer slide clearance guide","/learn/drawer-slide-clearance-to-cut-list/","Convert the exact slide's side, bottom, rear, and setback requirements into box parts."
"Resource","4","Checklist","Drawer slide release","/checklists/drawer-slide-release/","Release mounting datums, travel, disconnect, load, and adjustment on the real drawer opening."
"Resource","5","Troubleshooting","Drawer fronts are uneven","/troubleshooting/drawer-fronts-uneven/","Separate case square, slide position, front attachment, and reveal-setting errors before trimming fronts."
