"Record type","Order","Status / choice","Item","Prompt / specification","Project value / evidence"
"Brief","1","Open","User posture","Measure chair, elbow, knee, keyboard, monitor, and comfortable reach in the actual room.",""
"Brief","2","Open","Open and closed envelope","Trace door swing, bed or sofa movement, walking path, desk arc, and closed projection.",""
"Brief","3","Open","Wall evidence","Locate studs or masonry, concealed services, finish build-up, baseboard, and allowable attachment.",""
"Brief","4","Open","Moving hardware","Record hinge axis, support-arm geometry, latch, cable loop, finger gap, and rated load.",""
"Material","1","Verify","Desk panel","Flat 3/4 in plywood with durable front edge and balanced finish",""
"Material","2","Verify","Wall cabinet or ledger","Structural rails and panels that distribute load into verified attachment points",""
"Material","3","Verify","Folding hardware","Exact hinges, brackets or stays, latch, bumpers, and manufacturer-specified fasteners",""
"Material","4","Verify","Cable management","Flexible grommet, strain relief, and removable clips kept clear of every moving joint",""
"Material","5","Verify","Wall attachment","Fasteners suited to the verified structure, load, and required edge distances",""
"Decision","1","Choose","What carries the front edge when the desk is open?","User lean, typing, and accidental edge loading create leverage far from the wall. Options: Rated supports tied through the cabinet or ledger into verified structure | Folding legs that lock on the floor | A piano hinge alone",""
"Decision","2","Choose","How will cables move as the desk closes?","Power bricks, plugs, and cable loops can jam the hinge or be crushed behind the panel. Options: Model a strain-relieved flexible loop through the complete arc | Disconnect and store devices before closing | Leave slack behind the hinge",""
"Decision","3","Choose","How will the closed desk stay secured?","A panel can fall open if a magnet, latch, or support is undersized or misaligned. Options: Use positive latches rated and positioned for the finished panel | Use two tested cabinet catches plus a secondary restraint | Depend on hinge friction",""
"Phase","1","Open","Measure","Map user posture, room movement, wall structure, utilities, and the full desk arc.","Evidence: Wall elevation and movement envelope with structure evidence. Hold: Stop if the wall attachment or electrical conflict remains unknown."
"Phase","2","Open","Plan","Resolve the open load path, pivot, support, latch, cable movement, and finger clearances.","Evidence: Hardware-specific section and load-path plan. Hold: Stop if support or latch geometry comes from a catalog sketch without the real panel thickness."
"Phase","3","Open","Cut","Create a flat desk panel, structural wall components, and precise hardware references.","Evidence: Flat panel and passing movement mockup. Hold: Stop on panel bow, hardware bind, or inadequate fastener edge distance."
"Phase","4","Open","Assemble","Bench-assemble the mechanism and prove repeatable open, level, closed, and latched positions.","Evidence: Twenty clean cycles with stable open level and secure latch. Hold: Stop after any pinch, latch miss, fastener movement, or support overtravel."
"Phase","5","Open","Install","Transfer the verified mechanism into known wall structure without twisting its datum.","Evidence: Level and attachment record in both desk states. Hold: Stop if any required fastener misses structure or the wall pulls the case out of square."
"Phase","6","Open","Closeout","Test working load, repeated movement, room clearance, and the owner closing routine.","Evidence: Loaded function test and visible operating note. Hold: Do not close while the panel creeps, latch misaligns, or cables touch a pinch zone."
"Variation","1","Review","Shallow laptop cabinet","Use when a laptop, charger, and small supplies fit inside the closed depth without a fixed monitor.","Closed projection shrinks, while heat escape, plug storage, latch clearance, and cable removal must be deliberately arranged."
"Variation","2","Review","Locking-leg desk","Use when the floor can accept two positive locking legs and wall leverage must be reduced.","The open load shifts to the floor, but leg deployment, floor slip, knee room, and closed retention add moving states."
"Variation","3","Review","Separate monitor mount","Use only when the monitor arm has its own verified wall attachment and never loads or blocks the desk panel.","The desk carries less equipment, while two independent movement envelopes and cable loops must remain collision-free."
"Risk","1","Monitor","Unverified wall attachment","A required fastener lands outside known structure, spins, or relies on an unidentified cavity anchor.","Remove all desk load, identify a suitable structural method, and revise the ledger layout before reopening the panel."
"Risk","2","Monitor","Untested support arc","A bracket binds, snaps, overtravels, or loses level between partly open and fully open positions.","Stop cycling, reproduce the full section in a mockup, and correct pivot and mounting geometry using the actual hardware."
"Risk","3","Monitor","Cable pinch","A cable scuffs, tightens, folds sharply, or enters the hinge, support, or latch during movement.","Disconnect power, relocate strain relief and clips, then complete repeated cycles with the largest real connector."
"Risk","4","Monitor","Friction-only closure","The panel drifts open, bounces away from bumpers, or releases when the wall or case is touched.","Keep the area clear and install a tested positive latch and secondary restraint for the finished panel mass."
"Finish line","1","Open","Project closeout","The folding desk has two stable, intentional states and a verified transition that never asks cables, fingers, latches, or wall finish to carry work load.",""
"Finish line","2","Open","Closeout check 1","The open work surface returns to the released level after repeated full open-and-close cycles.",""
"Finish line","3","Open","Closeout check 2","The desk carries its declared staged edge and equipment loads without support, ledger, fastener, or wall movement.",""
"Finish line","4","Open","Closeout check 3","The real unplugged cable and largest connector travel through every cycle without tension, abrasion, or pinch contact.",""
"Finish line","5","Open","Closeout check 4","Both positive latches engage visibly and hold the closed panel without drift, bounce, or reliance on hinge friction.",""
"Resource","1","Template","Folding wall desk cut list template","/templates/folding-wall-desk-cut-list/","Start the panel, ledger, shallow case, and support parts after tracing both desk states."
"Resource","2","Example","Folding wall desk worked example","/examples/folding-wall-desk-cut-list/","Inspect a complete compact-desk input and sheet layout before changing its folding geometry."
"Resource","3","Learn","Folding desk wall-mount guide","/learn/folding-desk-wall-mount-guide/","Coordinate work height, open depth, support leverage, wall attachment, latch, and cable movement."
"Resource","4","Checklist","Wall anchoring release","/checklists/wall-anchoring-release/","Release identified structure, fasteners, edge distances, load path, and no-drill service zones."
"Resource","5","Worksheet","Built-in wall survey","/worksheets/built-in-wall-survey/","Retain wall lean, bow, floor, baseboard, outlet, obstruction, and scribe evidence at the desk."
