"Record type","Order","Status / choice","Item","Prompt / specification","Project value / evidence"
"Brief","1","Open","Inventory load","Count full sheets by product and thickness plus half sheets, narrow strips, and maximum planned stock.",""
"Brief","2","Open","Shop route","Measure doorway, aisle, turn, floor joint, slope, parking bay, and loading-side clearance.",""
"Brief","3","Open","Loading method","Record one- or two-person handling, vertical lift, tilt angle, edge support, and hand-clearance zones.",""
"Brief","4","Open","Mobility system","Estimate total load, center of gravity, wheel diameter, caster rating, brakes, handle, and parked restraint.",""
"Material","1","Verify","Structural panels","Thick plywood sides, base, dividers, and gussets sized for concentrated panel loads",""
"Material","2","Verify","Bearing surfaces","Replaceable smooth runners or pads that protect sheet faces and lower edges",""
"Material","3","Verify","Mobility hardware","Load-rated casters, through-bolts, plates, brakes, and positive parking restraint",""
"Material","4","Verify","Retention","Top rails, gates, straps, or dividers that prevent panel and offcut migration",""
"Material","5","Verify","Identification","Durable material labels and offcut location markers",""
"Decision","1","Choose","What is the cart's design load?","Sheet weight varies sharply by thickness, core, moisture, and how offcuts accumulate. Options: Weigh or conservatively estimate each inventory class plus cart and handling margin | Limit the cart to a counted sheet quantity | Add material until the wheels stop rolling well",""
"Decision","2","Choose","How will full sheets be restrained?","Tall panels can shift outward during turns or while one panel is removed. Options: Use geometry and positive retention that stays engaged during movement | Park against a fixed stop before loading and unloading | Lean sheets against a shallow lip",""
"Decision","3","Choose","Where should small offcuts live?","Loose short pieces migrate beneath full sheets, hide defects, and create uncontrolled retrieval. Options: Use bounded labeled bays separated from full-sheet loading | Use removable bins within the wheelbase | Drop offcuts into every open gap",""
"Phase","1","Open","Measure","Quantify stock, load, route, parking, floor, and human loading movement.","Evidence: Load table and shop movement envelope. Hold: Stop if total weight or the narrowest route is unknown."
"Phase","2","Open","Plan","Keep the loaded center of gravity inside a rigid, retained, mobile structure.","Evidence: Cart section with load distribution and moving/parked states. Hold: Stop if removing one sheet can place the remaining load outside the support polygon."
"Phase","3","Open","Cut","Create a stiff base, matched dividers, reinforced wheel mounts, and smooth bearing surfaces.","Evidence: Labeled parts and passing caster-mount/retention samples. Hold: Stop on splintered bearing edges, weak bolt spacing, or inconsistent divider angles."
"Phase","4","Open","Assemble","Build the cart square and rigid, then prove wheel and retention systems before material loading.","Evidence: Empty cart that rolls straight, parks, and resists divider movement. Hold: Stop if a wheel plate flexes or the cart racks under diagonal hand force."
"Phase","5","Open","Install","Run the empty cart through every route and establish a controlled loading and parking zone.","Evidence: Empty-route trial and marked loading/parking locations. Hold: Stop if visibility, stopping force, or turning space is inadequate."
"Phase","6","Open","Closeout","Load progressively and repeat movement, retention, and asymmetric inventory tests.","Evidence: Loaded movement test and inventory/capacity record. Hold: Do not close after caster heat, fastener movement, panel shift, or loss of steering control."
"Variation","1","Review","Double-sided A-frame cart","Use when the shop provides loading access on both sides and the central frame can keep asymmetric stock inside the wheelbase.","Capacity grows, but partial-load balance, upper retention, and turning clearance need tests from both loading faces."
"Variation","2","Review","Wall-parking lean cart","Use when one loading side is enough and the parked wall zone preserves the required sheet tilt and hand clearance.","A lower profile improves stability, while the leaning geometry increases footprint and must not depend on the wall for restraint."
"Variation","3","Review","Removable offcut-bin cart","Use when bins can be withdrawn without crossing the full-sheet lean or shifting the loaded center of gravity.","Inventory becomes searchable, but each bin needs a weight boundary, positive moving retention, and an accessible handle."
"Risk","1","Monitor","Summed caster ratings","The capacity label equals caster ratings but omits cart mass, uneven load, floor impact, or wheel count actually sharing load.","Recalculate from the complete loaded system and lower the visible limit to the weakest structure, mount, wheel, or handling condition."
"Risk","2","Monitor","Load exits wheelbase","The cart lightens a wheel, leans, or needs sudden handle force during a turn or single-sheet removal.","Stop movement, secure stock, and revise load placement, wheelbase, retention, or handling before another trial."
"Risk","3","Monitor","Buried reusable offcuts","A worker must reach behind or unload full sheets to retrieve a labeled remnant.","Move the offcut class to a bounded accessible bay and update its location rather than accepting unsafe retrieval."
"Risk","4","Monitor","Missing load-side clearance","The cart passes the aisle but a full sheet cannot tilt, rotate, or clear hands at the storage location.","Return to the movement mockup and change parking orientation, module size, or shop route before loading inventory."
"Finish line","1","Open","Project closeout","The sheet cart controls both heavy full panels and irregular remnants through loading, partial inventory, travel, parking, and retrieval states.",""
"Finish line","2","Open","Closeout check 1","The cart starts, turns, crosses the recorded threshold, stops, and parks under the declared full load without wheel lift or panel shift.",""
"Finish line","3","Open","Closeout check 2","Removing stock from either tested loading sequence does not move the remaining center of gravity outside the wheelbase.",""
"Finish line","4","Open","Closeout check 3","Every full sheet and labeled offcut class can be retrieved while hands and body stay outside trapped-panel zones.",""
"Finish line","5","Open","Closeout check 4","The visible capacity, moving checklist, caster inspection points, and offcut bay labels match the final cart configuration.",""
"Resource","1","Template","Sheet-goods cart cut list template","/templates/sheet-goods-storage-cart-cut-list/","Draft base, sides, dividers, gussets, and bins from the verified load and shop route."
"Resource","2","Example","Sheet-goods cart worked example","/examples/sheet-goods-storage-cart-cut-list/","Inspect a complete cart input and four-sheet layout before changing its storage geometry."
"Resource","3","Learn","Offcut storage system guide","/learn/offcut-storage-system-for-sheet-goods/","Classify full sheets and reusable rectangles so bins remain retrievable without moving heavy stock."
"Resource","4","Checklist","Sheet usability receiving","/checklists/sheet-usability-receiving/","Record usable dimensions, face condition, bow, thickness, and safe acceptance before loading inventory."
"Resource","5","Troubleshooting","Offcuts warp in storage","/troubleshooting/offcuts-warp-in-storage/","Trace unsupported span, humidity, edge damage, stacking, and retention causes inside the cart."
