"Record type","Order","Status / choice","Item","Prompt / specification","Project value / evidence"
"Brief","1","Open","Exact saw envelope","Record base, table height, slide travel, head sweep, bevel, miter, handle, cord, port, and service clearances.",""
"Brief","2","Open","Stock program","List maximum common length, width, weight, stop use, crown orientation, and offcut size.",""
"Brief","3","Open","Shop placement","Map walls, doors, aisle, operator stance, infeed/outfeed, power, extraction, and lighting.",""
"Brief","4","Open","Stand format","Choose fixed, folding, modular, or mobile bays plus storage that stays outside saw movement.",""
"Material","1","Verify","Cabinet structure","3/4 in plywood and bracing for center bay and support wings",""
"Material","2","Verify","Support tops","Flat replaceable surfaces with adjustment at the saw-table datum",""
"Material","3","Verify","Fence and stop system","Straight fence, track, stop, sacrificial face, and measuring reference",""
"Material","4","Verify","Machine mounting","Accessible bolts, inserts, shims, and vibration-resistant hardware",""
"Material","5","Verify","Dust and power parts","Manufacturer-compatible hose, gates, cord routing, and accessible disconnect",""
"Decision","1","Choose","What controls wing height?","Nominal cabinet height misses the actual saw table, top thickness, floor variation, and future adjustment. Options: Build adjustable support tops to the measured machine table | Shim fixed tops after dry installation | Set tops from the saw's catalog height",""
"Decision","2","Choose","Should the fence run behind the saw?","A continuous fence can conflict with rotating work, saw fences, bevel travel, dust, and bowed stock. Options: Use independently aligned wing fences with a clear machine gap | Use a removable center fence insert | Install one uninterrupted fence first",""
"Decision","3","Choose","Where do short offcuts go?","Offcuts can be trapped between stop, blade, fence, or a closed cabinet surface. Options: Preserve a clear fall or retrieval zone outside the blade path | Use a removable sacrificial deck for a defined small-part process | Close every gap for a continuous countertop look",""
"Phase","1","Open","Measure","Capture the exact saw motion, table datum, stock program, utilities, and operator envelope.","Evidence: Full machine-and-stock envelope drawing. Hold: Stop if the installed saw or its current manual is unavailable."
"Phase","2","Open","Plan","Arrange cases, adjustable support tops, fences, stops, storage, dust, and service access around the machine.","Evidence: Stand plan with machine clearances and support datum. Hold: Stop if any cabinet, fence, hose, or cord enters a rated saw movement."
"Phase","3","Open","Cut","Produce square cabinet parts, flat wing tops, and accurate but adjustable fence components.","Evidence: Flat tops and passing adjustment/track samples. Hold: Stop when a top cannot be tuned through the expected floor and mounting variation."
"Phase","4","Open","Assemble","Build rigid bays while keeping machine, dust, fastener, and adjustment access open.","Evidence: Rigid stand with complete unplugged collision test. Hold: Stop on any contact, trapped bolt, blocked vent, or inaccessible disconnect."
"Phase","5","Open","Install","Level the stand and align both supports to the actual saw table and stock reference.","Evidence: Coplanarity and fence-alignment record across both wings. Hold: Stop if stock rocks, catches, or bridges over the saw table."
"Phase","6","Open","Closeout","Prove square cuts, stop repeatability, dust access, and safe offcut behavior across the intended stock range.","Evidence: Test-cut and repeatability record plus station limits. Hold: Do not close after a collision, trapped offcut, unsupported stock, or unexplained cut drift."
"Variation","1","Review","Folding-wing mobile station","Use when stored width is limited and each wing can lock coplanar without entering the rolling wheelbase or aisle.","Hinges, braces, alignment stops, moving retention, and repeated unfold accuracy become primary station controls."
"Variation","2","Review","Long fixed production station","Use when the shop permanently supports long trim or stock and wall, aisle, and dust paths are stable.","Continuous reference and stop capacity improve, while floor variation and fence alignment accumulate across more bays."
"Variation","3","Review","Removable saw deck","Use when multiple saws or a cleared bench opening must return to the same workpiece support datum.","Machine-specific decks need positive location, accessible bolts, and independent calibration records."
"Risk","1","Monitor","Catalog-height wings","Test stock catches at the saw table or rocks across one wing after installation.","Stop cutting, measure the installed machine datum, and tune or rebuild supports before aligning fences."
"Risk","2","Monitor","Fence-motion collision","The saw head, motor, handle, stock, or factory fence contacts the station at an extreme miter or bevel.","Unplug the saw, mark the full collision envelope, and shorten or make the station fence removable outside that zone."
"Risk","3","Monitor","Dust-hose interference","The hose stretches, kinks, lifts, or pulls the saw head as angle or slide travel changes.","Hold use and reroute with adequate supported slack through every manufacturer-rated machine position."
"Risk","4","Monitor","Trapped short offcut","A cut piece is pinched between blade-side fence, stop, deck, or neighboring stock.","Stop the blade and operation, redesign the support or stop process, and test with sacrificial stock before resuming."
"Finish line","1","Open","Project closeout","The station supports the exact saw and stock, not an idealized machine envelope, through all intended cuts, stops, service, and cleanup states.",""
"Finish line","2","Open","Closeout check 1","The unplugged saw completes every intended slide, miter, bevel, guard, and service movement without station contact.",""
"Finish line","3","Open","Closeout check 2","Straight test stock remains coplanar across both wings and the saw table without rocking or catching.",""
"Finish line","4","Open","Closeout check 3","Repeated stop cuts stay inside the released tolerance when measured from the same reference face.",""
"Finish line","5","Open","Closeout check 4","Power disconnect, dust hose, machine bolts, offcut zone, and cleanup points remain reachable without removing fixed cabinetry.",""
"Resource","1","Template","Miter saw stand cut list template","/templates/miter-saw-stand-cut-list/","Start center bay, wings, tops, fences, and storage after measuring the installed saw table."
"Resource","2","Example","Miter saw stand worked example","/examples/miter-saw-stand-cut-list/","Review a reproducible station input before replacing its machine bay and support lengths."
"Resource","3","Learn","Workbench height and material guide","/learn/workbench-height-and-material-guide/","Resolve finished top build-up, user posture, machine datum, stiffness, and workpiece support."
"Resource","4","Checklist","Saw preflight","/checklists/saw-preflight/","Release blade, support, fence, extraction, test cut, and operator path at the completed station."
"Resource","5","Compare","Miter saw vs table saw for crosscuts","/compare/miter-saw-vs-table-saw-for-crosscuts/","Confirm that the station matches the stock length, angle work, repeat cuts, and support demands."
